x_coord,D_T
-200.0,0.0
-180.0,0.0
-160.0,0.0
-140.0,0.0
-120.0,0.0
-100.0,0.0
-80.0,0.0
-60.0,7.073492599171613e-07
-50.0,1.7260221425955835e-06
-40.0,9.261017360934312e-07
-30.0,-4.742925351075017e-07
-25.0,-5.669780748631375e-07
-20.0,-6.587456921445882e-07
-15.0,-6.74741331158755e-07
-10.0,-7.085973298211342e-07
-5.0,-6.927071934031682e-07
0.0,6.552581185093241e-08
5.0,8.417780404017691e-07
10.0,8.476669774575002e-07
20.0,8.189847534821335e-07
30.0,8.055953780741674e-07
40.0,7.964994482162436e-07
60.0,7.912525768617419e-07
80.0,7.845113697883686e-07
100.0,7.862761940377841e-07
120.0,7.883501689832638e-07
140.0,7.923884783679313e-07
160.0,7.9326490554616e-07
180.0,7.844449237251285e-07
200.0,7.82456985602483e-07
220.0,7.801318136855928e-07
240.0,7.67554574492453e-07
260.0,7.667626685786563e-07
280.0,7.680688794746981e-07
300.0,7.542605747339606e-07
320.0,7.490980408215706e-07
340.0,7.45464578618861e-07
360.0,7.453386498530235e-07
380.0,7.447709522312362e-07
400.0,7.420954920284945e-07
420.0,7.365008671221138e-07
440.0,7.298554770205633e-07
460.0,7.222729809481319e-07
480.0,7.07104039722318e-07
500.0,7.153837469045941e-07
520.0,7.136195996125648e-07
540.0,7.127385574275364e-07
560.0,7.109099400859522e-07
580.0,7.116534217561876e-07
600.0,7.292093820239924e-07
620.0,7.291696522537709e-07
640.0,7.181884339292525e-07
660.0,7.093139519493642e-07
680.0,7.064219313380272e-07
700.0,7.03005516722697e-07
720.0,6.997075006706923e-07
740.0,6.9749555124537e-07
760.0,6.952861472715352e-07
780.0,6.929612253476559e-07
800.0,6.904775295782892e-07
820.0,6.879842346872365e-07
840.0,6.853169535816211e-07
860.0,6.817791049021656e-07
880.0,6.78610800006503e-07
900.0,6.759180532874591e-07
920.0,6.750351719839327e-07
940.0,6.768681704129134e-07
960.0,6.794444100793246e-07
980.0,6.813969888710382e-07
1000.0,6.818428354142383e-07
1020.0,6.824152007396371e-07
1040.0,6.844445292793464e-07
1060.0,6.86214330614287e-07
1080.0,6.856558424769772e-07
1100.0,6.827719044528328e-07
1120.0,6.79402203025099e-07
1140.0,6.765553924598114e-07
1160.0,6.742698834758902e-07
1180.0,6.726574891124118e-07
1200.0,6.722940866780258e-07
1220.0,6.741235977651273e-07
1240.0,6.787019014685531e-07
1260.0,6.863658106777527e-07
1280.0,6.967790064502252e-07
1300.0,7.091476829145139e-07
1320.0,7.235177552357272e-07
1340.0,7.399272889744908e-07
1360.0,7.589168755484707e-07
1380.0,7.8130938636962e-07
1400.0,8.068212419104584e-07
1420.0,8.37691065119481e-07
1440.0,8.733679719918809e-07
1460.0,9.19067872580406e-07
1480.0,9.661535005042203e-07
1500.0,9.858293582810563e-07
