time,vt
100000000.0,1.5585485288853643e-07
200000000.0,1.097862735589021e-07
300000000.0,1.0813670192631048e-07
400000000.0,1.0716601949585785e-07
500000000.0,1.0652604099798824e-07
600000000.0,1.059833276151303e-07
700000000.0,1.0562185383480965e-07
800000000.0,1.0533399994014187e-07
900000000.0,1.050190796353522e-07
1000000000.0,1.0483319127562984e-07
1100000000.0,1.0462614074326837e-07
1200000000.0,1.0445950993026443e-07
1300000000.0,1.0432229222962331e-07
1400000000.0,1.0415015920970616e-07
1500000000.0,1.040696992291912e-07
1600000000.0,1.0397537456524646e-07
1700000000.0,1.0381374619721931e-07
1800000000.0,1.0371223151476876e-07
1900000000.0,1.0367073250794946e-07
2000000000.0,1.035618928064452e-07
2100000000.0,1.0345496690522905e-07
2200000000.0,1.0338158659717289e-07
2300000000.0,1.0327683975127822e-07
2400000000.0,1.032064952645555e-07
2500000000.0,1.0314035393845994e-07
2600000000.0,1.0298185852287846e-07
2700000000.0,1.0290372891600189e-07
2800000000.0,1.0286226850956268e-07
2900000000.0,1.0275729739915298e-07
3000000000.0,1.0267375342906041e-07
3100000000.0,1.0256163548705243e-07
3200000000.0,1.0249478900749594e-07
3300000000.0,1.0243318321047742e-07
3400000000.0,1.0233584086201205e-07
3500000000.0,1.022009890177489e-07
3600000000.0,1.0208200816793335e-07
3700000000.0,1.0202778125762845e-07
3800000000.0,1.0197949838400394e-07
3900000000.0,1.018983839802336e-07
4000000000.0,1.0178427264519287e-07
4100000000.0,1.0166677580572978e-07
4200000000.0,1.0156411346702248e-07
4300000000.0,1.0149361110926332e-07
4400000000.0,1.014534128262531e-07
4500000000.0,1.0135355218681874e-07
4600000000.0,1.0122078574126298e-07
4700000000.0,1.0111082192099231e-07
4800000000.0,1.0103845781749659e-07
4900000000.0,1.0099192980579035e-07
5000000000.0,1.0090008539024421e-07
5100000000.0,1.0078843544366648e-07
5200000000.0,1.0069343011943699e-07
5300000000.0,1.0057572777124343e-07
5400000000.0,1.0042329673263157e-07
5500000000.0,1.0032836793997417e-07
5600000000.0,1.0021492135260645e-07
5700000000.0,1.0003336926588549e-07
5800000000.0,9.983919150899602e-08
5900000000.0,9.964088632057282e-08
6000000000.0,9.949225095738659e-08
6100000000.0,9.932517966856748e-08
6200000000.0,9.910487087589928e-08
6300000000.0,9.889870889138863e-08
6400000000.0,9.865685734654063e-08
6500000000.0,9.842400479009883e-08
6600000000.0,9.817282520654736e-08
6700000000.0,9.789427864363148e-08
6800000000.0,9.762574426760758e-08
6900000000.0,9.73461099690986e-08
7000000000.0,9.702642211373888e-08
7100000000.0,9.670240350256218e-08
7200000000.0,9.634321904687268e-08
7300000000.0,9.594346616197652e-08
7400000000.0,9.556052735592648e-08
7500000000.0,9.51355252661427e-08
7600000000.0,9.475728832088616e-08
7700000000.0,9.434036955353157e-08
7800000000.0,9.385705273161157e-08
7900000000.0,9.338132988501949e-08
8000000000.0,9.286638781624323e-08
8100000000.0,9.232482029137114e-08
8200000000.0,9.177698674166973e-08
8300000000.0,9.122824856660138e-08
8400000000.0,9.071085121216103e-08
8500000000.0,9.012894984395945e-08
8600000000.0,8.949203122158182e-08
8700000000.0,8.885884833037668e-08
8800000000.0,8.820552268002673e-08
8900000000.0,8.754177553528914e-08
9000000000.0,8.686166733145315e-08
9100000000.0,8.617290858125996e-08
9200000000.0,8.550836620487049e-08
9300000000.0,8.480742346793406e-08
9400000000.0,8.404924766274985e-08
9500000000.0,8.329494937953207e-08
9600000000.0,8.253472847270766e-08
9700000000.0,8.176300824276425e-08
9800000000.0,8.096527189415025e-08
9900000000.0,8.017190737132399e-08
10000000000.0,7.9386929726765e-08
10100000000.0,7.863173891744636e-08
10200000000.0,7.782417304842216e-08
10300000000.0,7.695740304789554e-08
10400000000.0,7.611384811213208e-08
10500000000.0,7.527512568293365e-08
10600000000.0,7.444087445669392e-08
10700000000.0,7.358984386812651e-08
10800000000.0,7.271952960522148e-08
10900000000.0,7.186576616402392e-08
11000000000.0,7.105412156521454e-08
11100000000.0,7.022127688034228e-08
11200000000.0,6.932808154887162e-08
11300000000.0,6.84384616487383e-08
11400000000.0,6.756390970593676e-08
11500000000.0,6.669556730481223e-08
11600000000.0,6.583261954791366e-08
11700000000.0,6.49625353794511e-08
11800000000.0,6.41002410435713e-08
11900000000.0,6.328215078070121e-08
12000000000.0,6.243539982149941e-08
12100000000.0,6.154994590519127e-08
12200000000.0,6.069563853442148e-08
12300000000.0,5.983671352004329e-08
12400000000.0,5.898088093357785e-08
12500000000.0,5.814214294894945e-08
12600000000.0,5.72885640981374e-08
12700000000.0,5.644165241428116e-08
12800000000.0,5.5621205840945806e-08
12900000000.0,5.4847957144212956e-08
13000000000.0,5.40537707772081e-08
13100000000.0,5.3215733476754826e-08
13200000000.0,5.2398692179823876e-08
13300000000.0,5.158171269708505e-08
13400000000.0,5.077282679291488e-08
13500000000.0,4.998150356801071e-08
13600000000.0,4.91983076590889e-08
13700000000.0,4.8422239587681427e-08
13800000000.0,4.769124897501114e-08
13900000000.0,4.6983252433335484e-08
14000000000.0,4.6235338875958856e-08
14100000000.0,4.5448058095385674e-08
14200000000.0,4.469117716759017e-08
14300000000.0,4.3963739329222326e-08
14400000000.0,4.32396762914049e-08
14500000000.0,4.252476219211099e-08
14600000000.0,4.181641843393381e-08
14700000000.0,4.112960191777514e-08
14800000000.0,4.052091765641536e-08
14900000000.0,3.985304896906254e-08
15000000000.0,3.911997558115199e-08
15100000000.0,3.844721554646714e-08
15200000000.0,3.77870449345267e-08
15300000000.0,3.714667054803158e-08
15400000000.0,3.650717447880516e-08
15500000000.0,3.591009535708994e-08
15600000000.0,3.531848199344766e-08
15700000000.0,3.469185659285464e-08
15800000000.0,3.40707886375842e-08
15900000000.0,3.346714747365451e-08
16000000000.0,3.2893948944183914e-08
16100000000.0,3.2324728839786824e-08
16200000000.0,3.176874479653397e-08
16300000000.0,3.12128107178958e-08
16400000000.0,3.065090459634155e-08
16500000000.0,3.009582482128814e-08
16600000000.0,2.955072122023497e-08
16700000000.0,2.9022653830026815e-08
16800000000.0,2.8495649637486158e-08
16900000000.0,2.7980981313917343e-08
17000000000.0,2.747457146951948e-08
17100000000.0,2.697382370064835e-08
17200000000.0,2.648290939349353e-08
17300000000.0,2.6000409840552496e-08
17400000000.0,2.5525357872133412e-08
17500000000.0,2.5061379828981713e-08
17600000000.0,2.4595080397706892e-08
17700000000.0,2.41381022661932e-08
17800000000.0,2.3700166300177813e-08
17900000000.0,2.326026313410016e-08
18000000000.0,2.2828416444711846e-08
18100000000.0,2.2407277813757485e-08
18200000000.0,2.1984119380276476e-08
18300000000.0,2.1572921794117825e-08
18400000000.0,2.1173209309932473e-08
18500000000.0,2.077724997763248e-08
18600000000.0,2.038447219837842e-08
18700000000.0,2.000178853505705e-08
18800000000.0,1.963144629874872e-08
18900000000.0,1.9257598006286156e-08
19000000000.0,1.888883905060246e-08
19100000000.0,1.8534038776725197e-08
19200000000.0,1.8180835223963577e-08
19300000000.0,1.783102867703848e-08
19400000000.0,1.7497523510076397e-08
19500000000.0,1.7168130967692427e-08
19600000000.0,1.6834412549900052e-08
19700000000.0,1.6508519019352722e-08
19800000000.0,1.6197856729600284e-08
19900000000.0,1.5889081666122952e-08
20000000000.0,1.5581244365285662e-08
20100000000.0,1.527977354840311e-08
20200000000.0,1.498320059139957e-08
