x_coord,kyy
-200.0,0.0
-180.0,0.0
-160.0,0.0
-140.0,0.0
-120.0,0.0
-100.0,0.0
-80.0,0.0
-60.0,0.0
-50.0,362.7431912953972
-40.0,1180.1860628210939
-30.0,995.9751381627067
-25.0,920.4143773023324
-20.0,802.1364829782602
-15.0,695.2021782156613
-10.0,571.4556894383197
-5.0,452.94668445080276
0.0,334.63272086360973
5.0,475.3486710745709
10.0,622.420080815165
20.0,903.5364942323417
30.0,1182.4096475011888
40.0,1454.3709325707082
60.0,2000.3708916016249
80.0,2536.4257224116104
100.0,3073.2069368641733
120.0,3611.6752025091914
140.0,4151.292621973139
160.0,4695.28336190806
180.0,5236.099314247453
200.0,5768.028540760694
220.0,6306.125945280568
240.0,6834.875449561683
260.0,7355.773210996806
280.0,7883.439767035874
300.0,8406.123799755205
320.0,8914.90720429345
340.0,9430.531361682235
360.0,9934.345929094234
380.0,10449.797876207516
400.0,10952.836105003
420.0,11464.6293031756
440.0,11960.016762982343
460.0,12462.722248330974
480.0,12947.740482894038
500.0,13429.7021173028
520.0,13926.043028185723
540.0,14405.592153513131
560.0,14900.728220400293
580.0,15377.776672477326
600.0,15873.929466419746
620.0,16374.98606893261
640.0,16871.084531566135
660.0,17357.124083602575
680.0,17841.08650268376
700.0,18323.171154797816
720.0,18802.461553961843
740.0,19280.03609872156
760.0,19756.301609827657
780.0,20230.85474748869
800.0,20703.940878233443
820.0,21175.097508910054
840.0,21644.774005666564
860.0,22112.283072492417
880.0,22577.121485656808
900.0,23040.29782790358
920.0,23501.45385244723
940.0,23963.422835664438
960.0,24427.085524688995
980.0,24892.57757064538
1000.0,25358.91045284959
1020.0,25825.012203471346
1040.0,26292.1278074764
1060.0,26761.004708196582
1080.0,27230.54055330737
1100.0,27698.653709577655
1120.0,28164.245707876587
1140.0,28627.75072551094
1160.0,29089.44964959057
1180.0,29549.829184900325
1200.0,30009.32312526788
1220.0,30469.205699991013
1240.0,30931.201535825014
1260.0,31397.345038596286
1280.0,31869.82143387644
1300.0,32350.205204158556
1320.0,32839.59602853954
1340.0,33339.63117948091
1360.0,33851.46239154633
1380.0,34377.46620750105
1400.0,34919.919656130536
1420.0,35480.811479142605
1440.0,36065.480069992984
1460.0,36675.16082475311
1480.0,37322.32500522064
1500.0,37996.39636131025
