time,kxx
100000000.0,23.37871118330654
200000000.0,48.16051119531001
300000000.0,81.41667390023615
400000000.0,150.2111224205943
500000000.0,222.84363521141051
600000000.0,309.0581168011798
700000000.0,396.4596293731612
800000000.0,488.58729784432325
900000000.0,588.1991999509725
1000000000.0,695.4671171083511
1100000000.0,813.9187366673107
1200000000.0,930.1070057765608
1300000000.0,1067.5055509862557
1400000000.0,1241.476830253387
1500000000.0,1459.5125736109762
1600000000.0,1725.6728272819491
1700000000.0,2012.525482485733
1800000000.0,2281.771258007693
1900000000.0,2582.6748350552552
2000000000.0,2910.5892633923245
2100000000.0,3259.07493311784
2200000000.0,3656.5450191409773
2300000000.0,4041.3999513385834
2400000000.0,4520.804097947411
2500000000.0,5033.625227177652
2600000000.0,5825.07026907053
2700000000.0,6690.321560491684
2800000000.0,7748.251284000751
2900000000.0,8760.862033571952
3000000000.0,9695.852223924347
3100000000.0,10620.37869169139
3200000000.0,11500.788832843933
3300000000.0,12395.851366449488
3400000000.0,13199.49861614389
3500000000.0,14022.383074139509
3600000000.0,14830.262233243968
3700000000.0,15731.287998661437
3800000000.0,16645.059348039158
3900000000.0,17513.046318706445
4000000000.0,18349.218663595468
4100000000.0,19174.66387721174
4200000000.0,20027.279581429182
4300000000.0,21076.70951951038
4400000000.0,21987.533796083793
4500000000.0,22968.553880698255
4600000000.0,23901.79102109965
4700000000.0,24923.449977935932
4800000000.0,25902.389419902007
4900000000.0,26838.122100988297
5000000000.0,28083.924398481504
5100000000.0,29150.34965711256
5200000000.0,30223.47571956671
5300000000.0,31299.629777720453
5400000000.0,32483.23546547184
5500000000.0,33668.389459365986
5600000000.0,34869.40259448988
5700000000.0,36219.8877697182
5800000000.0,37395.39305433342
5900000000.0,38607.787754458695
6000000000.0,39933.99161244983
6100000000.0,41236.56195647039
6200000000.0,42548.05434396421
6300000000.0,43767.42437863786
6400000000.0,45148.67752852728
6500000000.0,46430.695099479366
6600000000.0,47672.0260682083
6700000000.0,48972.20153969236
6800000000.0,50135.50180992985
6900000000.0,51396.02551367616
7000000000.0,52701.58863242326
7100000000.0,53826.800442865446
7200000000.0,55001.765939829056
7300000000.0,56095.29055543484
7400000000.0,57234.755771484226
7500000000.0,58230.32628895526
7600000000.0,59237.865437423505
7700000000.0,60183.7023600151
7800000000.0,61158.15187309064
7900000000.0,62035.40568114794
8000000000.0,62914.51419412609
8100000000.0,63774.637863921555
8200000000.0,64562.61230084194
8300000000.0,65282.31908767585
8400000000.0,66008.98117514043
8500000000.0,66749.24533211286
8600000000.0,67420.000013705
8700000000.0,68032.31016462042
8800000000.0,68625.88098580574
8900000000.0,69180.50959926941
9000000000.0,69736.89571993839
9100000000.0,70255.1048211535
9200000000.0,70730.80697986242
9300000000.0,71205.14413439376
9400000000.0,71644.6867933002
9500000000.0,72067.93101090966
9600000000.0,72470.19986300264
9700000000.0,72896.19813992076
9800000000.0,73279.28548022843
9900000000.0,73633.50862968047
10000000000.0,73966.04624965372
10100000000.0,74282.47765996134
10200000000.0,74565.8272765561
10300000000.0,74836.36072335778
10400000000.0,75143.66192911519
10500000000.0,75460.65963487189
10600000000.0,75740.25531244325
10700000000.0,75988.07898139604
10800000000.0,76191.31171660939
10900000000.0,76424.59350159286
11000000000.0,76638.25374791093
11100000000.0,76826.32349841447
11200000000.0,77021.73052750115
11300000000.0,77248.25752375613
11400000000.0,77468.70684855503
11500000000.0,77669.1032428219
11600000000.0,77855.80298654581
11700000000.0,78017.80859375276
11800000000.0,78162.88419363671
11900000000.0,78349.83140234285
12000000000.0,78504.8747912326
12100000000.0,78658.08860334639
