time,vt
100000000.0,1.0544828876268648e-07
200000000.0,7.582686943071184e-08
300000000.0,7.594150062401139e-08
400000000.0,7.645539838011337e-08
500000000.0,7.726205398459184e-08
600000000.0,7.82846729685864e-08
700000000.0,7.93986187997604e-08
800000000.0,8.046122624454842e-08
900000000.0,8.137312152283978e-08
1000000000.0,8.209439514809238e-08
1100000000.0,8.264843173559895e-08
1200000000.0,8.308443026528755e-08
1300000000.0,8.346069734674692e-08
1400000000.0,8.381477269437348e-08
1500000000.0,8.416831269829837e-08
1600000000.0,8.454075091090487e-08
1700000000.0,8.49360639178214e-08
1800000000.0,8.535303527288322e-08
1900000000.0,8.578594257151235e-08
2000000000.0,8.622981646581835e-08
2100000000.0,8.668591212200689e-08
2200000000.0,8.7152629532779e-08
2300000000.0,8.762401067201429e-08
2400000000.0,8.809354809482934e-08
2500000000.0,8.856532899347459e-08
2600000000.0,8.904657026185945e-08
2700000000.0,8.952514002722329e-08
2800000000.0,8.999842749544661e-08
2900000000.0,9.048414566428464e-08
3000000000.0,9.096927106101087e-08
3100000000.0,9.145224058753354e-08
3200000000.0,9.194507436128137e-08
3300000000.0,9.24371884624002e-08
3400000000.0,9.292757716658961e-08
3500000000.0,9.341924561322385e-08
3600000000.0,9.391298169818983e-08
3700000000.0,9.440516361372787e-08
3800000000.0,9.489431895650226e-08
3900000000.0,9.538235119800276e-08
4000000000.0,9.587104198575021e-08
4100000000.0,9.635495537713303e-08
4200000000.0,9.682679692251597e-08
4300000000.0,9.728166230485977e-08
4400000000.0,9.772801062725954e-08
4500000000.0,9.816367325770653e-08
4600000000.0,9.857972587988456e-08
4700000000.0,9.89731481997536e-08
4800000000.0,9.934551976188745e-08
4900000000.0,9.969799555119362e-08
5000000000.0,1.0001592523972043e-07
5100000000.0,1.0030314950900447e-07
5200000000.0,1.0056020873078854e-07
5300000000.0,1.0078769663794297e-07
5400000000.0,1.0097338856364958e-07
5500000000.0,1.0111602911606456e-07
5600000000.0,1.0122303324695455e-07
5700000000.0,1.0128450734857825e-07
5800000000.0,1.0130239887971323e-07
5900000000.0,1.0127173161794901e-07
6000000000.0,1.0119775548973611e-07
6100000000.0,1.0107428745223403e-07
6200000000.0,1.0090144605776692e-07
6300000000.0,1.0068793045450764e-07
6400000000.0,1.0042543387224283e-07
6500000000.0,1.0011306663885085e-07
6600000000.0,9.975621268628072e-08
6700000000.0,9.93550202024916e-08
6800000000.0,9.890759084743403e-08
6900000000.0,9.8418725534395e-08
7000000000.0,9.788688070024461e-08
7100000000.0,9.731481414816694e-08
7200000000.0,9.670540125006164e-08
7300000000.0,9.605848626882236e-08
7400000000.0,9.537289995365901e-08
7500000000.0,9.46547858739683e-08
7600000000.0,9.390473748260813e-08
7700000000.0,9.312273161624619e-08
7800000000.0,9.231337238950216e-08
7900000000.0,9.147728812947728e-08
8000000000.0,9.061734786472438e-08
8100000000.0,8.973312969865614e-08
8200000000.0,8.882675050785401e-08
8300000000.0,8.790103920817613e-08
8400000000.0,8.695876619464927e-08
8500000000.0,8.599967293048473e-08
8600000000.0,8.502743496974341e-08
8700000000.0,8.404193111781995e-08
8800000000.0,8.304539164862592e-08
8900000000.0,8.203801042361947e-08
9000000000.0,8.102143380187702e-08
9100000000.0,8.000119797198687e-08
9200000000.0,7.897516936747e-08
9300000000.0,7.794394890305601e-08
9400000000.0,7.69101508843903e-08
9500000000.0,7.587494524863555e-08
9600000000.0,7.483946643550811e-08
9700000000.0,7.380391300039237e-08
9800000000.0,7.276905398945958e-08
9900000000.0,7.173790263001086e-08
10000000000.0,7.071105809226821e-08
10100000000.0,6.968592521743346e-08
10200000000.0,6.866294779167239e-08
10300000000.0,6.764916290226952e-08
10400000000.0,6.664227630878855e-08
10500000000.0,6.563970330853387e-08
10600000000.0,6.464452091341353e-08
10700000000.0,6.36556911820994e-08
10800000000.0,6.267779760854404e-08
10900000000.0,6.170924602993018e-08
11000000000.0,6.074665174143847e-08
11100000000.0,5.979348399633377e-08
11200000000.0,5.8850669255297516e-08
11300000000.0,5.7920690916546605e-08
11400000000.0,5.6999889502624065e-08
11500000000.0,5.608566572664913e-08
11600000000.0,5.5182789632342257e-08
11700000000.0,5.429237199289813e-08
11800000000.0,5.341418788438925e-08
11900000000.0,5.2545637705412056e-08
12000000000.0,5.168735378755938e-08
12100000000.0,5.0841630968348196e-08
