time,R_eff
100000000.0,2.21909717782734
200000000.0,3.0859773291026036
300000000.0,3.0813191479918327
400000000.0,3.060607948658144
500000000.0,3.028653626612955
600000000.0,2.989090854271028
700000000.0,2.9471545416946996
800000000.0,2.90823308221523
900000000.0,2.8756424187846963
1000000000.0,2.8503772952816187
1100000000.0,2.831269693641504
1200000000.0,2.8164121635406407
1300000000.0,2.803714891427524
1400000000.0,2.791870603208216
1500000000.0,2.780143649056788
1600000000.0,2.767895925677382
1700000000.0,2.7550134678527503
1800000000.0,2.741554524122965
1900000000.0,2.727719635474476
2000000000.0,2.7136785115709716
2100000000.0,2.6994005631578815
2200000000.0,2.6849448060771386
2300000000.0,2.670500907289968
2400000000.0,2.656267173483669
2500000000.0,2.642117436465921
2600000000.0,2.627838436807568
2700000000.0,2.613790941056825
2800000000.0,2.600045428703063
2900000000.0,2.586088405677052
3000000000.0,2.572297186409924
3100000000.0,2.5587125968338285
3200000000.0,2.544997669810345
3300000000.0,2.531448693889927
3400000000.0,2.5180899700044086
3500000000.0,2.504837182787916
3600000000.0,2.49166830579409
3700000000.0,2.478677977376791
3800000000.0,2.4659010420556484
3900000000.0,2.453284041135063
4000000000.0,2.440778728938615
4100000000.0,2.4285206617980846
4200000000.0,2.416686366143606
4300000000.0,2.4053865287241334
4400000000.0,2.3944005254797416
4500000000.0,2.3837738771825085
4600000000.0,2.373713234759038
4700000000.0,2.36427762737957
4800000000.0,2.355415730481395
4900000000.0,2.347088311116988
5000000000.0,2.3396274087265954
5100000000.0,2.332927741007706
5200000000.0,2.326964143704648
5300000000.0,2.3217119530034718
5400000000.0,2.3174422818592024
5500000000.0,2.3141731538073604
5600000000.0,2.31172681250431
5700000000.0,2.3103237220147737
5800000000.0,2.3099156840091446
5900000000.0,2.310615176234695
6000000000.0,2.3123042489191694
6100000000.0,2.315128861141706
6200000000.0,2.319094613034912
6300000000.0,2.3240124108591624
6400000000.0,2.3300870205617965
6500000000.0,2.3373572287435223
6600000000.0,2.3457185642752614
6700000000.0,2.355190502936779
6800000000.0,2.365844704082899
