time,vt_average,vt_std_dev,vt_margin_of_error
100000000.0,1.4649979329736165e-07,5.945120096833627e-08,1.1652221273559187e-08
200000000.0,1.043883631823675e-07,4.179483621722566e-08,8.191637372551257e-09
300000000.0,1.0390254785344492e-07,4.1443785556127844e-08,8.122832707301186e-09
400000000.0,1.0376388454301827e-07,4.1036632513005426e-08,8.043032177229604e-09
500000000.0,1.0378863274397302e-07,4.069182339832922e-08,7.975450832598955e-09
600000000.0,1.0385101951668432e-07,4.0380449722293696e-08,7.914422713522608e-09
700000000.0,1.0385722517353087e-07,4.000945394588888e-08,7.841708877505616e-09
800000000.0,1.0376498810911281e-07,3.9522650152766214e-08,7.746297087299824e-09
900000000.0,1.0357440285841117e-07,3.89206798227854e-08,7.628313070647416e-09
1000000000.0,1.0330677446318237e-07,3.823373674825559e-08,7.493674702096653e-09
1100000000.0,1.0298809367345133e-07,3.74946744698155e-08,7.348821157289184e-09
1200000000.0,1.0263952320750904e-07,3.673195093994206e-08,7.199330092417862e-09
1300000000.0,1.02276872576197e-07,3.596358814604452e-08,7.0487337521078864e-09
1400000000.0,1.0191313022277674e-07,3.5202697928012606e-08,6.899602009754749e-09
1500000000.0,1.0155848947227826e-07,3.446057980887099e-08,6.7541495311755325e-09
1600000000.0,1.0122027074257846e-07,3.37438882528742e-08,6.613680567397764e-09
1700000000.0,1.0090145287798034e-07,3.305611012189586e-08,6.478878530790582e-09
1800000000.0,1.0060334971294461e-07,3.239808282695937e-08,6.349907550898598e-09
1900000000.0,1.0032551543601431e-07,3.176944585339077e-08,6.226696968144127e-09
2000000000.0,1.0006621176067016e-07,3.116822898966318e-08,6.108860628163708e-09
2100000000.0,9.982333813372827e-08,3.0592472700006575e-08,5.996014469003771e-09
2200000000.0,9.959423989401242e-08,3.0040908632966123e-08,5.8879098983471994e-09
2300000000.0,9.937739192649339e-08,2.9511017626921808e-08,5.784053169589344e-09
2400000000.0,9.917084948330622e-08,2.900247341157474e-08,5.684380334926701e-09
2500000000.0,9.897376297381911e-08,2.8515222087525902e-08,5.588880830271183e-09
2600000000.0,9.878591387031552e-08,2.8048258671141858e-08,5.497357682450132e-09
2700000000.0,9.860619163154386e-08,2.760199383632976e-08,5.409891382070288e-09
2800000000.0,9.843425350666227e-08,2.7175489989942656e-08,5.326298164251636e-09
2900000000.0,9.827016837369101e-08,2.6768194945589844e-08,5.24646980245032e-09
3000000000.0,9.811267790789588e-08,2.63783497760802e-08,5.170061553271739e-09
3100000000.0,9.796144811923086e-08,2.6004395979316047e-08,5.096767955917764e-09
3200000000.0,9.781598025144734e-08,2.564431791507928e-08,5.026193952165067e-09
3300000000.0,9.767356349169745e-08,2.529635383600497e-08,4.957994245875138e-09
3400000000.0,9.753355415922974e-08,2.49574497165786e-08,4.891570259046344e-09
3500000000.0,9.739454918257247e-08,2.462435219048677e-08,4.826284343598406e-09
3600000000.0,9.725420864848828e-08,2.429573805775828e-08,4.7618771571025355e-09
3700000000.0,9.711168407588065e-08,2.396852343520074e-08,4.6977442695597705e-09
3800000000.0,9.696505515471721e-08,2.3640190001668214e-08,4.633392099095358e-09
3900000000.0,9.681247538006406e-08,2.3308785159064722e-08,4.5684379435148574e-09
4000000000.0,9.665340940871224e-08,2.297321431813806e-08,4.502667267267049e-09
4100000000.0,9.648662428043471e-08,2.2633085135411464e-08,4.436003172443532e-09
4200000000.0,9.63103719138828e-08,2.2287138706304313e-08,4.3681989182805074e-09
4300000000.0,9.612493525058804e-08,2.1934492555334445e-08,4.299081542761745e-09
4400000000.0,9.592898912177211e-08,2.157576551571197e-08,4.228772334967673e-09
4500000000.0,9.572224678230387e-08,2.121228015909756e-08,4.157530514180479e-09
4600000000.0,9.550485274625139e-08,2.0844913818860374e-08,4.085528034580761e-09
4700000000.0,9.527591658576164e-08,2.047414756004048e-08,4.012859183183796e-09
4800000000.0,9.503573838684406e-08,2.01004976142227e-08,3.939625139520977e-09
4900000000.0,9.478334104563568e-08,1.972570628711865e-08,3.866167389236786e-09
5000000000.0,9.451888800337108e-08,1.9350011711174492e-08,3.792532605433027e-09
5100000000.0,9.4243122633324e-08,1.897444807627082e-08,3.718923485601612e-09
5200000000.0,9.39554059581833e-08,1.8600191235110957e-08,3.645570492637506e-09
5300000000.0,9.365452555445994e-08,1.822672071381287e-08,3.5723716155343413e-09
5400000000.0,9.334135794539195e-08,1.7855452016891195e-08,3.4996042880789815e-09
5500000000.0,9.301590869826604e-08,1.748665717068818e-08,3.4273218264547914e-09
5600000000.0,9.267709002359103e-08,1.7120416315241666e-08,3.3555399378205606e-09
5700000000.0,9.232538753989396e-08,1.675721630853006e-08,3.284354044586615e-09
5800000000.0,9.196142382540336e-08,1.6396583428971343e-08,3.2136712990290096e-09
5900000000.0,9.158393989812141e-08,1.6039283283746776e-08,3.1436417573979012e-09
6000000000.0,9.119318890831398e-08,1.5685660500314717e-08,3.0743329654339372e-09
6100000000.0,9.079032148516359e-08,1.533476094772867e-08,3.0055579169079504e-09
6200000000.0,9.037468882354109e-08,1.4987749744780884e-08,2.937544970906992e-09
6300000000.0,8.994590563143854e-08,1.4644831427128198e-08,2.8703342156831588e-09
6400000000.0,8.950440856011434e-08,1.4305715459521433e-08,2.8038687073739878e-09
6500000000.0,8.905114656067702e-08,1.3970447305645758e-08,2.738157356698032e-09
6600000000.0,8.858550455947917e-08,1.3639692177112124e-08,2.6733305427352483e-09
6700000000.0,8.810828418238866e-08,1.331388545520455e-08,2.609473598649258e-09
6800000000.0,8.761953286905097e-08,1.2992946495037115e-08,2.5465707183328672e-09
6900000000.0,8.711934604619905e-08,1.26774242875077e-08,2.484729502024845e-09
7000000000.0,8.66085018884379e-08,1.2367799051367134e-08,2.4240440708708226e-09
7100000000.0,8.608686578822048e-08,1.2064032705395694e-08,2.3645069610888876e-09
7200000000.0,8.555518810694066e-08,1.1766370024638512e-08,2.306166147706315e-09
7300000000.0,8.501370444354409e-08,1.1475734100090784e-08,2.2492025532336104e-09
7400000000.0,8.446255486183011e-08,1.119233190717128e-08,2.1936567441074203e-09
7500000000.0,8.390270148851177e-08,1.0916169870826575e-08,2.139529979594134e-09
7600000000.0,8.333397252541193e-08,1.0648345315373646e-08,2.087037331307815e-09
7700000000.0,8.275692545227671e-08,1.0388835334341447e-08,2.036174309662637e-09
7800000000.0,8.217217646492011e-08,1.0137426151426314e-08,1.9868990152730065e-09
7900000000.0,8.157979766904701e-08,9.89493814118596e-09,1.9393722385976192e-09
8000000000.0,8.098046302805045e-08,9.661777102559589e-09,1.893673514767055e-09
8100000000.0,8.037385695781478e-08,9.43815788629896e-09,1.8498449537548642e-09
8200000000.0,7.976073937602855e-08,9.224218797690928e-09,1.8079136628991576e-09
8300000000.0,7.914162767873762e-08,9.02041711683715e-09,1.7679692674529447e-09
8400000000.0,7.851676420342623e-08,8.826396131967466e-09,1.7299418531939876e-09
8500000000.0,7.788651462614224e-08,8.64250301553293e-09,1.6938994646723355e-09
8600000000.0,7.7251092090688e-08,8.469008610023851e-09,1.6598951860406372e-09
8700000000.0,7.66109417633803e-08,8.305639440390024e-09,1.6278754171739857e-09
8800000000.0,7.596609708596687e-08,8.152718204790343e-09,1.5979034057493117e-09
8900000000.0,7.531708526539439e-08,8.010165560350887e-09,1.569963600849084e-09
9000000000.0,7.46642289476719e-08,7.87780047052272e-09,1.5440205199617223e-09
9100000000.0,7.400768993826376e-08,7.755388478404737e-09,1.5200282103790173e-09
