x_coord,kyy
-200.0,0.0
-180.0,410.20459748164865
-160.0,1048.8083193793693
-140.0,1837.7596860600315
-120.0,2417.2797845125488
-100.0,3189.404206279894
-80.0,3403.2188919638656
-60.0,3534.8359413322282
-50.0,3450.3897923188056
-40.0,3298.175221702195
-30.0,3010.553271264509
-25.0,2833.77513653995
-20.0,2516.452412772596
-15.0,2237.820813219036
-10.0,1686.5610562763989
-5.0,1414.2011820199064
0.0,873.3643219833241
5.0,986.4755523229205
10.0,1097.9927124858177
20.0,1321.0400144970804
30.0,1540.2256615093534
40.0,1751.1361893951425
60.0,2162.446312434641
80.0,2554.4788563925813
100.0,2930.682741954293
120.0,3295.3532288075685
140.0,3652.5242645191315
160.0,4006.659156073808
180.0,4362.048529034197
200.0,4722.4355675469515
220.0,5090.886347081654
240.0,5469.65604256249
260.0,5858.319892470825
280.0,6254.385528978978
300.0,6656.826314731389
320.0,7065.781152414928
340.0,7481.289543723533
360.0,7901.024558724173
380.0,8320.56884108365
400.0,8734.587502528912
420.0,9139.303524200845
440.0,9533.563686382293
460.0,9919.62767287749
480.0,10302.272405830912
500.0,10686.264763232912
520.0,11073.73498035021
540.0,11464.802891621306
560.0,11858.594310979342
580.0,12254.782704406032
600.0,12653.77847663739
620.0,13055.897286237825
640.0,13459.486036384147
660.0,13861.648162182564
680.0,14260.585735808669
700.0,14658.336685664073
720.0,15058.878571613028
740.0,15466.860982403245
760.0,15886.739858218054
780.0,16319.979380929333
800.0,16763.619478952554
820.0,17211.396367863534
840.0,17656.025370202355
860.0,18091.13154416487
880.0,18511.397568246666
900.0,18913.027406945825
920.0,19294.663523965453
940.0,19658.238066527156
960.0,20009.07469569973
980.0,20353.22321744539
1000.0,20695.341396792748
1020.0,21038.869289680606
1040.0,21385.84915545003
1060.0,21737.61006851158
1080.0,22094.6809062446
1100.0,22456.617333454717
1120.0,22822.6254278551
1140.0,23193.90202290989
1160.0,23574.52732124078
1180.0,23970.59152708184
1200.0,24385.510059319393
1220.0,24818.71618467215
1240.0,25265.742686632286
1260.0,25723.41087245309
1280.0,26187.672618621484
1300.0,26661.27690992207
1320.0,27141.588573078836
1340.0,27634.224406057383
1360.0,28127.163510358623
1380.0,28629.285728846382
1400.0,29108.07993086689
1420.0,29592.33534252349
1440.0,30017.757175030023
1460.0,30470.92496570524
1480.0,30814.157461199124
1500.0,31338.226074251375
