x_coord,lambda_eff_f
0.0,0.6
5.0,1.176915168762207
10.0,1.7538304328918457
20.0,2.907660961151123
30.0,4.061491012573242
40.0,5.215321553624279
60.0,8.18510759514822
80.0,10.341646362746879
100.0,12.276469622920509
120.0,14.531031630580532
140.0,16.82387260578493
160.0,19.23002745163456
180.0,21.626304497850068
200.0,23.935902685623237
220.0,26.19418270240738
240.0,28.453830595484952
260.0,30.952572045629317
280.0,33.208312047078095
300.0,35.56661773457923
320.0,37.41268793814043
340.0,39.27920939104289
360.0,40.963034733655235
380.0,42.74612869865897
400.0,44.56615815929001
420.0,46.397284775059155
440.0,48.2004343102665
460.0,50.11347322816605
480.0,51.843975156108
500.0,53.617873366763696
520.0,55.217178322182136
540.0,56.468614905953466
560.0,57.63531979533228
580.0,58.49929162039522
600.0,59.2362773108645
620.0,59.84305215022081
640.0,60.515707732318226
660.0,61.280896178840685
680.0,62.30913100658655
700.0,63.42778094270067
720.0,64.31294701330698
740.0,65.16888000678819
760.0,66.00231717811778
780.0,66.73221853206759
800.0,67.51222756656387
820.0,68.32851652167976
840.0,68.98707873016467
860.0,69.73264488363084
880.0,70.4765193606057
900.0,71.20911743957117
920.0,71.66738304955143
940.0,72.04159273669879
960.0,72.40362818975626
980.0,72.81802472711358
1000.0,73.28644745897789
1020.0,73.78124153323833
1040.0,74.276472403481
1060.0,74.74305613304203
1080.0,75.31834379665368
1100.0,76.10849087813891
1120.0,77.00570772552531
1140.0,77.90972750091908
1160.0,78.71875578552809
1180.0,79.68163048048265
1200.0,80.41341276284798
1220.0,81.11282513746711
1240.0,81.55582208622516
1260.0,81.82298123956541
1280.0,81.97384031652861
1300.0,82.00968831635718
1320.0,82.02103661513941
1340.0,82.05429524560907
1360.0,82.18039994516676
1380.0,82.32729062476798
1400.0,82.53387423736207
1420.0,82.95313884140053
1440.0,83.0682350439372
1460.0,83.60482887657794
1480.0,83.34144359620046
1500.0,85.03488959558997
