time,kxx
100000000.0,21.277042207065872
200000000.0,43.7828486530615
300000000.0,70.0956174881066
400000000.0,97.15036712533156
500000000.0,127.87923998742198
600000000.0,166.6776362305811
700000000.0,197.7712337214022
800000000.0,249.2859265672948
900000000.0,288.76665969010594
1000000000.0,329.12671925764823
1100000000.0,387.57448712659755
1200000000.0,447.89102018652727
1300000000.0,492.42844510669204
1400000000.0,564.9403968268297
1500000000.0,621.2174753141877
1600000000.0,681.2287395344512
1700000000.0,754.3001949166355
1800000000.0,836.588695852605
1900000000.0,915.1829631315252
2000000000.0,983.7039524645431
2100000000.0,1065.4616347555216
2200000000.0,1164.1946202178808
2300000000.0,1266.3841788648776
2400000000.0,1349.1374767074478
2500000000.0,1439.63344819488
2600000000.0,1563.0747212294887
2700000000.0,1675.1626230764282
2800000000.0,1773.6848940025257
2900000000.0,1882.4610019204906
3000000000.0,1996.1244770038504
3100000000.0,2131.844903477185
3200000000.0,2262.8676304789133
3300000000.0,2391.4462101135273
3400000000.0,2529.405472292066
3500000000.0,2671.807661500716
3600000000.0,2795.6241674659163
3700000000.0,2959.7368424181304
3800000000.0,3117.379556237541
3900000000.0,3273.947027396476
4000000000.0,3426.46781866704
4100000000.0,3583.249206356392
4200000000.0,3766.437818713289
4300000000.0,3963.6152648338816
4400000000.0,4136.651919152883
4500000000.0,4335.802725870714
4600000000.0,4517.204363807077
4700000000.0,4691.649701953287
4800000000.0,4895.480854982264
4900000000.0,5112.684396236728
5000000000.0,5319.578194937868
5100000000.0,5527.333771319892
5200000000.0,5754.572237462199
5300000000.0,5975.380949213051
5400000000.0,6210.086565501955
5500000000.0,6431.6473392213875
5600000000.0,6690.792582786946
5700000000.0,6945.566813464055
5800000000.0,7193.294717321103
5900000000.0,7428.212742148694
6000000000.0,7701.165994198371
6100000000.0,7962.57389875071
6200000000.0,8231.956036393318
6300000000.0,8513.804251853753
6400000000.0,8812.627721272134
6500000000.0,9099.809954727374
6600000000.0,9363.050163123848
6700000000.0,9684.763080562137
6800000000.0,9986.36665962895
6900000000.0,10281.4455798615
7000000000.0,10591.93238962964
7100000000.0,10925.052050456145
7200000000.0,11248.0359783127
7300000000.0,11588.004306986879
7400000000.0,11930.971130096434
7500000000.0,12304.432646629633
7600000000.0,12603.836003831006
7700000000.0,12981.560645179401
7800000000.0,13346.071438539688
7900000000.0,13722.295013742816
8000000000.0,14106.764782312654
8100000000.0,14499.965049890465
8200000000.0,14869.930568883065
8300000000.0,15252.986777613798
8400000000.0,15654.385551077816
8500000000.0,16077.51968224998
8600000000.0,16431.655341354588
8700000000.0,16869.17120828463
8800000000.0,17315.766862001266
8900000000.0,17755.00647743457
9000000000.0,18198.564276252
9100000000.0,18643.020367658817
9200000000.0,19079.319159855917
9300000000.0,19533.17584626839
9400000000.0,19972.126780732073
9500000000.0,20408.114996586362
9600000000.0,20897.322010932625
9700000000.0,21406.18351401149
9800000000.0,21886.984758299033
9900000000.0,22393.935891682915
10000000000.0,22895.725134170734
10100000000.0,23385.669392546653
10200000000.0,23906.07684888689
10300000000.0,24396.427007714814
10400000000.0,24942.881531243886
10500000000.0,25468.673183583902
10600000000.0,26012.46377101059
10700000000.0,26558.77759343426
10800000000.0,27124.847236320544
10900000000.0,27713.363956415928
11000000000.0,28252.377422295376
11100000000.0,28812.64655000463
11200000000.0,29380.84412283652
11300000000.0,29988.09400605456
11400000000.0,30554.68573294652
11500000000.0,31105.610523860152
11600000000.0,31732.220046115173
11700000000.0,32361.396374643118
11800000000.0,32930.020066028716
11900000000.0,33567.608488071484
12000000000.0,34189.57649218435
12100000000.0,34780.88541773972
12200000000.0,35378.02009693439
12300000000.0,36016.095473659174
12400000000.0,36598.04407420784
12500000000.0,37216.49157910866
12600000000.0,37787.451037004495
12700000000.0,38423.37742200186
12800000000.0,39065.13110879968
12900000000.0,39613.180147063096
13000000000.0,40234.3958932044
13100000000.0,40823.47615099251
13200000000.0,41386.43942831546
13300000000.0,41929.09753192486
13400000000.0,42455.43694929893
13500000000.0,42997.4468123475
13600000000.0,43532.296234513946
13700000000.0,44061.05423187154
13800000000.0,44585.044959650826
13900000000.0,45053.98410716869
14000000000.0,45557.97902460266
14100000000.0,46023.115457945016
14200000000.0,46464.16595515424
14300000000.0,46917.28403532667
14400000000.0,47337.35883962599
14500000000.0,47745.89864277762
14600000000.0,48130.53493376154
14700000000.0,48489.06874899574
14800000000.0,48834.81692935737
14900000000.0,49203.140136475115
15000000000.0,49536.24509303007
15100000000.0,49892.68818749881
15200000000.0,50223.603679182095
15300000000.0,50526.431876862145
15400000000.0,50796.949705663734
15500000000.0,51055.457784067105
15600000000.0,51302.17732363516
15700000000.0,51537.34783150257
15800000000.0,51761.22488098725
15900000000.0,51995.02302964225
16000000000.0,52200.13753457229
16100000000.0,52409.74496366222
16200000000.0,52601.241062756846
16300000000.0,52772.843393071
16400000000.0,52934.9107818968
16500000000.0,53099.660284381185
16600000000.0,53243.60178845078
16700000000.0,53378.96301733772
