x_coord,D_L,RMSE,a_L
40.0,8.120730569086819e-07,0.004991547697087472,2.5846813110982594
60.0,9.516568680007614e-07,0.004185197928789874,4.1795660622178366
80.0,1.067403473109337e-06,0.0036801364351499205,5.502086876323919
100.0,1.1782030140940202e-06,0.003347019034396486,6.768082531299605
120.0,1.2857522487078877e-06,0.003132470923376425,7.996940182758101
140.0,1.3947975166474615e-06,0.003041954839773932,9.242891512342075
160.0,1.5029065253836897e-06,0.0030371615929770924,10.478145143426284
180.0,1.610343844898872e-06,0.003081875972288024,11.705724052866515
200.0,1.7150216389013233e-06,0.003171411376438465,12.901772621315574
220.0,1.8182306460922315e-06,0.0033005946435359524,14.0810388303345
240.0,1.9217695432850047e-06,0.0034252506982416333,15.264074362811531
260.0,2.0225941623535902e-06,0.0035442312471215516,16.416096550999598
280.0,2.1224791237085687e-06,0.0036612732165906387,17.557382209306592
300.0,2.2189114399423747e-06,0.003776516529588908,18.65921794135278
320.0,2.312596208237158e-06,0.003908863284757592,19.729660188175767
340.0,2.397679903264623e-06,0.004043665233065757,20.70182656410811
360.0,2.483547158887652e-06,0.004163252865755945,21.682945904110337
380.0,2.568539052935425e-06,0.0042736370224056635,22.65406336196613
400.0,2.652211216238054e-06,0.004374627921212528,23.610101575140572
420.0,2.7366353396810998e-06,0.0044670662701142266,24.574731685555935
440.0,2.812299432062873e-06,0.0045567294061309655,25.439269673183933
460.0,2.886934685415465e-06,0.004643442468981792,26.29205214513888
480.0,2.953367671677474e-06,0.004723667796075733,27.05111550593736
500.0,3.0150736265755767e-06,0.00479927383740034,27.75616780211901
520.0,3.075133378808916e-06,0.00486751782367976,28.442410585172013
540.0,3.1297021498519406e-06,0.004924813639959561,29.06591341220432
560.0,3.1729874324528726e-06,0.00496075733352257,29.560491090145693
580.0,3.216131508139958e-06,0.004995984297067055,30.053455337762415
600.0,3.253938248242415e-06,0.0050137417063404145,30.48543518418725
620.0,3.290903159757216e-06,0.0050331593751710086,30.907796296412144
640.0,3.3293510035324086e-06,0.005047656510525392,31.34710139397845
660.0,3.371396272240694e-06,0.005053785930015943,31.827510672066822
680.0,3.4164755407257192e-06,0.005051352509762997,32.34258643433387
700.0,3.464455754843886e-06,0.005051935564682405,32.890808404015125
720.0,3.5091268619740353e-06,0.005048490521446885,33.40122051427414
740.0,3.5541376526241153e-06,0.005058392208823,33.91551384873749
760.0,3.5960779345199435e-06,0.005073038837599102,34.39472354741227
780.0,3.6380309463442435e-06,0.005097545073150281,34.87407869826122
800.0,3.6799438509077683e-06,0.0051368231059300325,35.352975583512475
820.0,3.7214648909754234e-06,0.005169032138696235,35.82739502468136
840.0,3.759326849019008e-06,0.005193234839423864,36.2600057913512
860.0,3.797776794184155e-06,0.00519687312914012,36.69933489940101
880.0,3.8319561461183354e-06,0.005195372147948736,37.089868205351614
900.0,3.866033433313875e-06,0.005187870482464036,37.47923531950668
920.0,3.8968167336558035e-06,0.005180554329296288,37.830965336908825
940.0,3.9227149768539615e-06,0.005169738060680732,38.12687868699124
960.0,3.946660221408606e-06,0.005145148368991942,38.40047707281579
980.0,3.968618915836741e-06,0.005121804990279861,38.65137713510757
1000.0,3.9916897811849525e-06,0.005085976620644609,38.91498486333275
1020.0,4.014273443135037e-06,0.005052743230191918,39.1730258050926
1040.0,4.036965517530901e-06,0.00502426377596781,39.432305467555466
1060.0,4.060626363478405e-06,0.004990595668068921,39.702654314638956
1080.0,4.084984859292404e-06,0.004957548105658408,39.98097450972469
1100.0,4.116792156397632e-06,0.0049298645783483076,40.34440471506557
1120.0,4.149538661365928e-06,0.004903584501684529,40.71856631029486
1140.0,4.184753883796845e-06,0.004882571974964907,41.12093547347314
1160.0,4.220335302710359e-06,0.004870193914089896,41.52748879799101
1180.0,4.252753446390389e-06,0.004861545291201419,41.89789853684516
1200.0,4.2811447955341885e-06,0.0048519646115332184,42.222298117705485
1220.0,4.311922184688226e-06,0.004843134051634565,42.57396059386948
1240.0,4.336851307654003e-06,0.00483329786125348,42.85880077530481
1260.0,4.354705389583329e-06,0.004828456209571892,43.06280153149233
1280.0,4.37349080379846e-06,0.004819428585784677,43.27744369121538
1300.0,4.390864752951437e-06,0.004813551404022626,43.475958449868386
1320.0,4.40743018540708e-06,0.004805511942459022,43.66523509601023
1340.0,4.421927651725451e-06,0.004802844454370563,43.8308831592071
1360.0,4.433900516849086e-06,0.004794596183366398,43.967685126881555
1380.0,4.446098127102381e-06,0.004788238576490739,44.107055032609715
1400.0,4.454195027286455e-06,0.004786246633221463,44.1995702213976
1420.0,4.465935250537851e-06,0.00479511646560293,44.333714022830556
1440.0,4.4739173676837035e-06,0.004814356671151858,44.42491770052046
1460.0,4.4925640136728675e-06,0.0048436821919890715,44.63797429436876
1480.0,4.487839312552496e-06,0.004887378015148626,44.58398985511665
1500.0,4.5520188566869696e-06,0.004926468026439719,45.31730538413852
