x_coord,D_T
-200.0,2.647860608336185e-09
-180.0,4.015932607446455e-08
-160.0,1.4382950123547823e-07
-140.0,2.6694159895653017e-07
-120.0,4.0338802352498873e-07
-100.0,4.892138994980289e-07
-80.0,5.687690750157726e-07
-60.0,3.8968847235150994e-07
-50.0,1.6542589499618349e-07
-40.0,-8.504912498555733e-08
-30.0,-3.725724043247016e-07
-25.0,-5.767453044929026e-07
-20.0,-8.718158814929987e-07
-15.0,-1.2743888135395102e-06
-10.0,-1.377856932540391e-06
-5.0,-1.2288900256350853e-06
0.0,-3.3728114968944273e-07
5.0,5.468968753636042e-07
10.0,5.496575054756496e-07
20.0,5.508908919263719e-07
30.0,5.423970198101599e-07
40.0,5.321124063316772e-07
60.0,5.129720310235546e-07
80.0,4.924741079146009e-07
100.0,4.7453407125873405e-07
120.0,4.6092335387248503e-07
140.0,4.522441501784614e-07
160.0,4.4798762630332323e-07
180.0,4.4716795255919774e-07
200.0,4.483894883018189e-07
220.0,4.506172540377351e-07
240.0,4.5369665208212336e-07
260.0,4.574583128026376e-07
280.0,4.6147700324104764e-07
300.0,4.651809082873944e-07
320.0,4.679601226382835e-07
340.0,4.693424161633396e-07
360.0,4.6925192435364545e-07
380.0,4.686328876795835e-07
400.0,4.6846445655152916e-07
420.0,4.688130925734436e-07
440.0,4.6990278626980444e-07
460.0,4.721509597241906e-07
480.0,4.756523863928426e-07
500.0,4.798130633479875e-07
520.0,4.832464162650354e-07
540.0,4.845316054574775e-07
560.0,4.820564467763279e-07
580.0,4.75808538838226e-07
600.0,4.675715666626246e-07
620.0,4.589510228034065e-07
640.0,4.5198873962888426e-07
660.0,4.482479621522416e-07
680.0,4.475403393175165e-07
700.0,4.492775072964844e-07
720.0,4.5260841864211906e-07
740.0,4.566767672248767e-07
760.0,4.606160719347208e-07
780.0,4.628602136879295e-07
800.0,4.6411336360494327e-07
820.0,4.6555628081912877e-07
840.0,4.6701280965472446e-07
860.0,4.694360228271478e-07
880.0,4.7217171091662674e-07
900.0,4.749800276659415e-07
920.0,4.783555034898526e-07
940.0,4.827875063586081e-07
960.0,4.894896537405227e-07
980.0,4.984592992219432e-07
1000.0,5.095261358517573e-07
1020.0,5.213920689376786e-07
1040.0,5.319952362685821e-07
1060.0,5.400626605692367e-07
1080.0,5.451520651611861e-07
1100.0,5.475088125720189e-07
1120.0,5.472571780113627e-07
1140.0,5.455313340330868e-07
1160.0,5.438745247306067e-07
1180.0,5.422438137170098e-07
1200.0,5.405889467201419e-07
1220.0,5.394765586950685e-07
1240.0,5.388303131171713e-07
1260.0,5.380740749937838e-07
1280.0,5.370807184206299e-07
1300.0,5.332686579938523e-07
1320.0,5.279935132776494e-07
1340.0,5.185437282453524e-07
1360.0,5.097089366348443e-07
1380.0,4.961494876451691e-07
1400.0,4.894851696921183e-07
1420.0,4.7189380593047624e-07
1440.0,4.782993927202199e-07
1460.0,4.478346016047201e-07
1480.0,5.617616236261908e-07
1500.0,7.356405246218347e-07
