x_coord,kyy
-200.0,0.0
-180.0,119.06364991077425
-160.0,479.416992496447
-140.0,977.2173562929023
-120.0,1496.3925875938498
-100.0,2119.6502257296247
-80.0,2606.0047989594705
-60.0,2960.640730235092
-50.0,3005.2085186256586
-40.0,2955.2763812010085
-30.0,2807.9959216729926
-25.0,2695.188760604265
-20.0,2507.898787251456
-15.0,2255.2414165432187
-10.0,1752.0775446522716
-5.0,1448.4135158220286
0.0,936.192570882762
5.0,1056.0049574485101
10.0,1174.6480408990876
20.0,1412.213292038698
30.0,1646.1879626742987
40.0,1872.4600353989
60.0,2312.8770447092825
80.0,2731.2043648146923
100.0,3129.815335853126
120.0,3513.152662266732
140.0,3886.059752520008
160.0,4253.733476906743
180.0,4619.1392836677605
200.0,4983.509056390524
220.0,5347.5945772896775
240.0,5712.674668852092
260.0,6079.953456002684
280.0,6450.651628462783
300.0,6824.5938025270425
320.0,7201.570020523122
340.0,7581.368920079885
360.0,7964.107767932969
380.0,8350.109116071613
400.0,8740.432423238839
420.0,9134.401528661683
440.0,9530.98402762444
460.0,9929.282503811673
480.0,10330.182721248377
500.0,10734.828033778103
520.0,11143.948466851869
540.0,11556.742491711782
560.0,11968.374647921208
580.0,12375.874260029337
600.0,12776.498658985007
620.0,13169.76996914733
640.0,13558.26145920455
660.0,13944.740041073957
680.0,14332.514916948656
700.0,14723.22350678681
720.0,15116.860000647444
740.0,15512.472744539007
760.0,15908.845877214175
780.0,16302.461644757597
800.0,16694.53453565262
820.0,17085.963626265355
840.0,17480.815833201177
860.0,17880.2292888149
880.0,18283.04028196359
900.0,18687.78896289879
920.0,19090.89255030184
940.0,19492.907066988253
960.0,19896.203620637018
980.0,20304.974213698933
1000.0,20722.567767685076
1020.0,21152.04260726113
1040.0,21591.51412370353
1060.0,22037.081123661614
1080.0,22483.978560597003
1100.0,22928.451068725037
1120.0,23367.562371239695
1140.0,23801.409398459058
1160.0,24231.050362496673
1180.0,24658.038732806785
1200.0,25084.1100804374
1220.0,25511.903788232197
1240.0,25943.27491470115
1260.0,26383.73048269398
1280.0,26832.760748594035
1300.0,27293.394198289818
1320.0,27756.473626028583
1340.0,28225.58557200681
1360.0,28682.8636374733
1380.0,29142.490164483646
1400.0,29569.645727456358
1420.0,30005.753887927778
1440.0,30383.456081616256
1460.0,30803.810981843042
1480.0,31122.3416836537
1500.0,31634.816569983665
