time,kxx
100000000.0,22.287990223552196
200000000.0,47.8580778233816
300000000.0,78.38689923523158
400000000.0,116.83489727699188
500000000.0,156.49241839207275
600000000.0,209.19746804447814
700000000.0,253.0698256767568
800000000.0,319.06956826060986
900000000.0,377.9380529635733
1000000000.0,448.73706006259306
1100000000.0,526.8692538340255
1200000000.0,607.9873591221516
1300000000.0,697.6158703429403
1400000000.0,810.9768862485698
1500000000.0,902.5592467640456
1600000000.0,1007.7743209816689
1700000000.0,1133.6958954877043
1800000000.0,1249.0750586980334
1900000000.0,1378.5890230178063
2000000000.0,1515.9310698454724
2100000000.0,1667.0266805233252
2200000000.0,1835.1137405841957
2300000000.0,1985.8400198431273
2400000000.0,2126.013946524256
2500000000.0,2332.7241413300703
2600000000.0,2520.4890153784077
2700000000.0,2702.4384634525645
2800000000.0,2904.94356843861
2900000000.0,3084.2611469838453
3000000000.0,3306.196134589063
3100000000.0,3534.147969876777
3200000000.0,3755.776732794112
3300000000.0,4015.832969152299
3400000000.0,4230.850312295711
3500000000.0,4489.952081688191
3600000000.0,4800.446394102056
3700000000.0,5046.059794497843
3800000000.0,5334.879729274854
3900000000.0,5589.876924776492
4000000000.0,5869.750942654488
4100000000.0,6201.886196550775
4200000000.0,6531.663682413369
4300000000.0,6844.956244122793
4400000000.0,7184.19046192395
4500000000.0,7506.497195113256
4600000000.0,7843.047094498865
4700000000.0,8211.89049794034
4800000000.0,8584.912037837448
4900000000.0,8949.964884747023
5000000000.0,9343.453153514494
5100000000.0,9724.792101900608
5200000000.0,10112.539085819193
5300000000.0,10504.362786890184
5400000000.0,10926.880146395803
5500000000.0,11371.423216237778
5600000000.0,11825.446803516737
5700000000.0,12269.97411324226
5800000000.0,12746.608639715036
5900000000.0,13183.92072636264
6000000000.0,13616.3236309689
6100000000.0,14139.958189344936
6200000000.0,14664.431523860483
6300000000.0,15153.282905090495
6400000000.0,15637.78447291369
6500000000.0,16209.157563599347
6600000000.0,16701.1921073026
6700000000.0,17223.510958141105
6800000000.0,17711.676643951276
6900000000.0,18308.879492765172
7000000000.0,18906.493809518568
7100000000.0,19462.828786785703
7200000000.0,20066.32547812296
7300000000.0,20624.70057109624
7400000000.0,21263.900527479895
7500000000.0,21861.89022582219
7600000000.0,22423.276658770283
7700000000.0,23075.46049826656
7800000000.0,23752.11362233537
7900000000.0,24407.181781444644
8000000000.0,25084.202048144
8100000000.0,25746.721600005607
8200000000.0,26396.4947079935
8300000000.0,27034.282893705626
8400000000.0,27674.49823403808
8500000000.0,28419.21884187599
8600000000.0,29133.137330688172
8700000000.0,29856.859520068952
8800000000.0,30573.141349109785
8900000000.0,31277.68543454081
9000000000.0,31984.398985394884
9100000000.0,32690.352751445316
9200000000.0,33353.84254443074
9300000000.0,34030.91450310562
9400000000.0,34777.87898926225
9500000000.0,35492.480166319634
9600000000.0,36212.492460806745
9700000000.0,36947.00725211822
9800000000.0,37679.66119088953
9900000000.0,38375.263335429634
10000000000.0,39062.45793262935
10100000000.0,39766.37898531774
10200000000.0,40421.73362594306
10300000000.0,41115.842166876806
10400000000.0,41814.364384438006
10500000000.0,42491.30367386748
10600000000.0,43132.03868003843
10700000000.0,43834.66495764448
10800000000.0,44488.27096173401
10900000000.0,45071.30184159409
11000000000.0,45714.97415626527
11100000000.0,46306.03200944162
11200000000.0,46909.84724437662
11300000000.0,47428.787628974686
11400000000.0,47988.15370088835
11500000000.0,48647.02293737397
11600000000.0,49192.821099609864
11700000000.0,49722.899319289674
11800000000.0,50298.432262991424
11900000000.0,50795.63595577344
12000000000.0,51322.19064096303
12100000000.0,51785.95258233804
12200000000.0,52178.16668582325
12300000000.0,52561.33781383343
12400000000.0,53071.72851434368
12500000000.0,53529.656596443296
12600000000.0,54002.50256752648
12700000000.0,54460.140932413255
12800000000.0,54817.9268852351
12900000000.0,55172.41809512162
13000000000.0,55536.75843692223
13100000000.0,55967.18472042606
13200000000.0,56300.42949678216
13300000000.0,56591.34034541104
13400000000.0,56897.063768917506
13500000000.0,57166.85572725908
13600000000.0,57472.5021083609
13700000000.0,57862.772262907616
13800000000.0,58156.46111145017
13900000000.0,58456.86881618188
14000000000.0,58766.23260529796
14100000000.0,59010.44580441859
14200000000.0,59186.575856710246
14300000000.0,59396.916923121316
14400000000.0,59559.81461868035
14500000000.0,59757.8189127685
14600000000.0,59948.81152650954
14700000000.0,60208.25071852424
14800000000.0,60501.80961776248
14900000000.0,60735.890729728584
15000000000.0,60895.25974001428
15100000000.0,61092.034465503
15200000000.0,61208.923340548354
15300000000.0,61393.36659915315
15400000000.0,61500.582693473654
15500000000.0,61639.43461092649
15600000000.0,61777.860105439584
15700000000.0,61908.99539887716
15800000000.0,61999.16707716221
15900000000.0,62177.83223774501
16000000000.0,62318.16320036386
16100000000.0,62443.00354984056
16200000000.0,62518.76640724858
16300000000.0,62692.46056076085
16400000000.0,62788.70129908146
16500000000.0,62883.51686714418
16600000000.0,62978.914215914425
16700000000.0,63069.26724337928
16800000000.0,63190.01344456726
16900000000.0,63244.59690515087
17000000000.0,63330.924534555175
17100000000.0,63399.279762980426
17200000000.0,63457.09663753268
17300000000.0,63596.2375496426
17400000000.0,63655.56907297038
17500000000.0,63751.32031236811
17600000000.0,63790.47879571677
17700000000.0,63881.00630637934
17800000000.0,63916.566138477356
17900000000.0,63972.27350554231
18000000000.0,64004.64591596936
18100000000.0,64058.98415525797
18200000000.0,64121.97422725328
18300000000.0,64174.938378689156
18400000000.0,64239.0306032087
18500000000.0,64268.380369218576
18600000000.0,64298.5413595157
18700000000.0,64356.053781138566
18800000000.0,64421.56470996732
18900000000.0,64442.11873025447
19000000000.0,64473.89845961135
19100000000.0,64520.20223006658
19200000000.0,64552.02959109474
19300000000.0,64568.796877382796
19400000000.0,64600.82530777876
19500000000.0,64645.47856883049
19600000000.0,64688.41334583196
19700000000.0,64719.8085995087
19800000000.0,64765.44927683705
19900000000.0,64780.23568417444
20000000000.0,64811.31266915583
20100000000.0,64826.2838628849
20200000000.0,64868.11947731101
20300000000.0,64913.234960455935
20400000000.0,64945.93836954293
20500000000.0,64983.84972618477
20600000000.0,64991.75087206612
20700000000.0,64999.20982297967
20800000000.0,65016.45989472892
20900000000.0,65023.09586703411
21000000000.0,65052.14059654934
21100000000.0,65070.18313546143
21200000000.0,65078.49110539206
21300000000.0,65083.68376360933
21400000000.0,65118.14089859062
21500000000.0,65126.87861380112
21600000000.0,65176.4537849867
21700000000.0,65180.35897328104
21800000000.0,65209.467496801175
21900000000.0,65219.058991364465
22000000000.0,65222.225174982465
22100000000.0,65241.08469066205
22200000000.0,65245.93140096502
22300000000.0,65256.68640160297
22400000000.0,65259.0536477958
22500000000.0,65261.24824277839
22600000000.0,65266.37938404475
22700000000.0,65268.250783409225
22800000000.0,65297.79059945585
22900000000.0,65324.41321857095
23000000000.0,65325.84111011799
23100000000.0,65331.241812469394
23200000000.0,65332.42827895108
23300000000.0,65333.50833938529
23400000000.0,65363.60640205842
23500000000.0,65376.54498264106
23600000000.0,65377.28785733806
23700000000.0,65377.94643527606
23800000000.0,65402.80249818741
23900000000.0,65403.28859664159
24000000000.0,65403.70881265404
24100000000.0,65404.06095720226
24200000000.0,65404.3598434359
24300000000.0,65404.6030975785
24400000000.0,65418.73934085722
24500000000.0,65418.877182270844
24600000000.0,65418.95811114805
24700000000.0,65425.034745489735
24800000000.0,65425.03769297972
24900000000.0,65425.00082964672
25000000000.0,65450.529796466304
25100000000.0,65450.41106302337
25200000000.0,65450.26979814229
25300000000.0,65450.09665940762
25400000000.0,65470.46066954251
25500000000.0,65470.23304447831
25600000000.0,65469.9883845473
25700000000.0,65485.40229785527
25800000000.0,65485.11628252628
25900000000.0,65484.81434758747
26000000000.0,65491.44545329055
26100000000.0,65491.111518456906
26200000000.0,65490.76421496152
26300000000.0,65490.40869834813
26400000000.0,65490.03708969762
26500000000.0,65489.683327476014
