x_coord,D_T
-200.0,0.0
-180.0,0.0
-160.0,0.0
-140.0,0.0
-120.0,0.0
-100.0,0.0
-80.0,0.0
-60.0,1.405206157581032e-06
-50.0,1.2405806514315083e-06
-40.0,-4.3773160398506816e-08
-30.0,-4.2829339269222206e-07
-25.0,-4.3392717645277246e-07
-20.0,-4.827915419680552e-07
-15.0,-5.108343343732116e-07
-10.0,-5.019336088618926e-07
-5.0,-4.891659982284982e-07
0.0,-5.587229709461387e-09
5.0,4.82724744744943e-07
10.0,4.926037918717833e-07
20.0,5.011473993905893e-07
30.0,5.119968823635025e-07
40.0,5.118309370951919e-07
60.0,4.961302685759416e-07
80.0,4.941030615701752e-07
100.0,4.919900643727354e-07
120.0,4.918055571923028e-07
140.0,4.926784096100567e-07
160.0,4.907108473253688e-07
180.0,4.907144382131695e-07
200.0,4.905012685512217e-07
220.0,4.90597806266359e-07
240.0,4.901723196946755e-07
260.0,4.898169643927554e-07
280.0,4.890237236980747e-07
300.0,4.883095245808971e-07
320.0,4.87865520313861e-07
340.0,4.879860167748123e-07
360.0,4.877765979959128e-07
380.0,4.872884019653484e-07
400.0,4.862695238880382e-07
420.0,4.819333296403147e-07
440.0,4.83898355866381e-07
460.0,4.827491089510954e-07
480.0,4.780375770458486e-07
500.0,4.80582878079932e-07
520.0,4.794041378333006e-07
540.0,4.745632241128169e-07
560.0,4.783822119212136e-07
580.0,4.785271489856805e-07
600.0,4.74597411685469e-07
620.0,4.79616794004444e-07
640.0,4.804729403733179e-07
660.0,4.761657289127293e-07
680.0,4.803873360035081e-07
700.0,4.803220894579175e-07
720.0,4.754255538745717e-07
740.0,4.747362991167258e-07
760.0,4.797374213396579e-07
780.0,4.797172999627935e-07
800.0,4.739147341044856e-07
820.0,4.729853026030492e-07
840.0,4.782029552466862e-07
860.0,4.779614475575239e-07
880.0,4.7150557147072924e-07
900.0,4.704017532280233e-07
920.0,4.762161031931338e-07
940.0,4.763924727854822e-07
960.0,4.70129902596857e-07
980.0,4.6991056154274433e-07
1000.0,4.767194843455733e-07
1020.0,4.773810405833546e-07
1040.0,4.7110724204941616e-07
1060.0,4.7126670761130117e-07
1080.0,4.786413737066846e-07
1100.0,4.788957294731812e-07
1120.0,4.714150388181226e-07
1140.0,4.778110420276272e-07
1160.0,4.774154349218938e-07
1180.0,4.69723530568038e-07
1200.0,4.769060933606075e-07
1220.0,4.810910981946279e-07
1240.0,4.7386305000144624e-07
1260.0,4.7029104297386637e-07
1280.0,4.711829161641528e-07
1300.0,4.729223523788558e-07
1320.0,4.76012660268336e-07
1340.0,4.81324885953134e-07
1360.0,4.897319091840607e-07
1380.0,5.02900421519019e-07
1400.0,5.22976163524504e-07
1420.0,5.532811181568491e-07
1440.0,5.981141784160972e-07
1460.0,6.662828313527102e-07
1480.0,7.625933408523435e-07
1500.0,8.172535527164298e-07
