time,R_eff
100000000.0,1.6958170745983565
200000000.0,2.391890511347597
300000000.0,2.4217283459404992
400000000.0,2.437673246295756
500000000.0,2.44671515899249
600000000.0,2.4539002294741006
700000000.0,2.459718657895221
800000000.0,2.464448747613666
900000000.0,2.4686742643081656
1000000000.0,2.472140574066255
1100000000.0,2.4752649136548546
1200000000.0,2.478046885993806
1300000000.0,2.4802529940867433
1400000000.0,2.4828999090627817
1500000000.0,2.4853065153056284
1600000000.0,2.486941658383247
1700000000.0,2.4889781790365477
1800000000.0,2.490660921829163
1900000000.0,2.491843787211935
2000000000.0,2.4932753011667503
2100000000.0,2.494783891230196
2200000000.0,2.4962063636594487
2300000000.0,2.497832148471129
2400000000.0,2.49863081440798
2500000000.0,2.4995119769322427
2600000000.0,2.501027573041136
2700000000.0,2.502444008486514
2800000000.0,2.5034133694613634
2900000000.0,2.5040489479428647
3000000000.0,2.505163783877298
3100000000.0,2.50659054154531
3200000000.0,2.507364961007011
3300000000.0,2.508352712159285
3400000000.0,2.509219745386102
3500000000.0,2.509802397353974
3600000000.0,2.5110871867768703
3700000000.0,2.5121062788737696
3800000000.0,2.513301581128376
3900000000.0,2.514573155810269
4000000000.0,2.5152021132426485
4100000000.0,2.5158285471159942
4200000000.0,2.5169886130112746
4300000000.0,2.517985839957234
4400000000.0,2.518825575438443
4500000000.0,2.519959386995775
4600000000.0,2.5209628534766146
4700000000.0,2.5222590936065528
4800000000.0,2.5231174001745535
4900000000.0,2.523455698021103
5000000000.0,2.524456601373119
5100000000.0,2.5256374058763735
5200000000.0,2.527136456673503
5300000000.0,2.527809239268228
5400000000.0,2.5281094700702047
5500000000.0,2.529005473196801
5600000000.0,2.5301267301727886
5700000000.0,2.5316060539302585
5800000000.0,2.532803363532688
5900000000.0,2.533389513373103
6000000000.0,2.5334613645409325
6100000000.0,2.533962684666383
6200000000.0,2.535568012309647
6300000000.0,2.5374296739528193
6400000000.0,2.5377394306152046
6500000000.0,2.5380240573027546
6600000000.0,2.5395370615913024
6700000000.0,2.540532427960063
6800000000.0,2.54085016350493
6900000000.0,2.541140528354551
7000000000.0,2.5422922737553164
7100000000.0,2.543456627204298
7200000000.0,2.544527600583316
7300000000.0,2.546096486975752
7400000000.0,2.547246723307907
7500000000.0,2.5488473982908513
7600000000.0,2.5502395858796705
7700000000.0,2.5515300115682886
7800000000.0,2.55353398843418
7900000000.0,2.5553302924144865
8000000000.0,2.5576402926896655
8100000000.0,2.5602588298249453
8200000000.0,2.5625173907194316
8300000000.0,2.5650574524390772
8400000000.0,2.5675305606508267
8500000000.0,2.5704182192376237
8600000000.0,2.5743590760527337
8700000000.0,2.578425024029545
8800000000.0,2.5824786334487344
8900000000.0,2.5869329013438174
9000000000.0,2.591969834074732
9100000000.0,2.5976184363642862
9200000000.0,2.6035819859191762
9300000000.0,2.609490300593203
9400000000.0,2.616117303826895
9500000000.0,2.623783530723742
9600000000.0,2.6319892368517745
9700000000.0,2.6406727073316136
9800000000.0,2.650138313396136
9900000000.0,2.660387148469374
10000000000.0,2.67121904002323
10100000000.0,2.6829851958137874
10200000000.0,2.6953710384513094
10300000000.0,2.707979907797573
10400000000.0,2.7219378967123875
10500000000.0,2.7374426966554877
10600000000.0,2.7534698491089133
10700000000.0,2.7704322510789607
10800000000.0,2.788717658107309
10900000000.0,2.80784024393516
11000000000.0,2.827948619612684
11100000000.0,2.8493648872127597
11200000000.0,2.872024725104191
11300000000.0,2.8951207213959758
11400000000.0,2.9194158456611845
11500000000.0,2.9460349637217162
11600000000.0,2.9739720361785604
11700000000.0,3.002882454432542
11800000000.0,3.0333419776251835
11900000000.0,3.0652486279766866
12000000000.0,3.098644144912029
12100000000.0,3.1338846428591505
12200000000.0,3.170564743166377
12300000000.0,3.2080021379077714
12400000000.0,3.2468926113028997
12500000000.0,3.288542542477642
12600000000.0,3.332382079531362
12700000000.0,3.3781139687951445
12800000000.0,3.425576672997725
12900000000.0,3.4746882230112583
13000000000.0,3.5256775618041756
13100000000.0,3.5790780100944755
13200000000.0,3.6349734248893113
13300000000.0,3.6927906291703008
13400000000.0,3.7523232117818797
13500000000.0,3.8139246213168647
13600000000.0,3.878589660240196
13700000000.0,3.9465030144944415
13800000000.0,4.016944725908804
13900000000.0,4.089727259343934
14000000000.0,4.1656698643706305
14100000000.0,4.244862802445938
14200000000.0,4.326587435655646
14300000000.0,4.411274166182976
14400000000.0,4.499167957783529
14500000000.0,4.590228736518195
14600000000.0,4.6824599882008675
14700000000.0,4.779179999873078
14800000000.0,4.882490993986866
14900000000.0,4.9893382058327695
15000000000.0,5.099596122057065
15100000000.0,5.2136001970278025
15200000000.0,5.3316096384505585
15300000000.0,5.4539877879034435
15400000000.0,5.581143710613739
15500000000.0,5.712535840217624
15600000000.0,5.849098808433753
15700000000.0,5.9910211158337665
15800000000.0,6.133651249451378
15900000000.0,6.284833932947286
16000000000.0,6.446544960036568
16100000000.0,6.611265758780163
16200000000.0,6.780976435907382
16300000000.0,6.956740184457645
16400000000.0,7.14042942671344
16500000000.0,7.330328686895034
16600000000.0,7.527101299523245
16700000000.0,7.730845735594446
16800000000.0,7.943551320637525
16900000000.0,8.162500790359632
17000000000.0,8.387790873720716
17100000000.0,8.625464341301472
17200000000.0,8.870638255158585
17300000000.0,9.125404039090709
17400000000.0,9.391547549896476
17500000000.0,9.667063399214602
17600000000.0,9.951997283035976
17700000000.0,10.248206690652292
17800000000.0,10.556255542842134
17900000000.0,10.874508261526968
18000000000.0,11.205451095710538
18100000000.0,11.54835332074636
18200000000.0,11.906020792866475
18300000000.0,12.276302760157753
18400000000.0,12.661886073332438
18500000000.0,13.063035889419046
18600000000.0,13.476724545456019
18700000000.0,13.9068100246436
18800000000.0,14.35983660864003
18900000000.0,14.828133174847009
19000000000.0,15.310565285967238
19100000000.0,15.814248253833203
19200000000.0,16.340392447488508
19300000000.0,16.884818660124605
19400000000.0,17.44859721257627
19500000000.0,18.03727713491594
19600000000.0,18.645326701339936
19700000000.0,19.28139553498989
19800000000.0,19.944355582628862
19900000000.0,20.631101910462586
20000000000.0,21.346297805267238
20100000000.0,22.09164481355401
20200000000.0,22.86083239386866
20300000000.0,23.666500176399598
20400000000.0,24.503463255138108
20500000000.0,25.378843176967262
20600000000.0,26.30132713316117
20700000000.0,27.238080130300755
20800000000.0,28.216357820618402
20900000000.0,29.242850479014518
21000000000.0,30.304271466744833
21100000000.0,31.409240361281913
21200000000.0,32.57511839576833
21300000000.0,33.78092871177789
21400000000.0,35.01478807728867
21500000000.0,36.303816742003065
21600000000.0,37.68083823723194
21700000000.0,39.09961768296
21800000000.0,40.55303384704092
21900000000.0,42.114462479696165
22000000000.0,43.715610694883495
22100000000.0,45.36977354013554
22200000000.0,47.103612437817866
22300000000.0,48.926358673370125
22400000000.0,50.842303436587805
22500000000.0,52.793995680207296
22600000000.0,54.84745754833709
22700000000.0,56.932564459299066
22800000000.0,59.1209494605596
22900000000.0,61.51988038692448
23000000000.0,63.958332794520516
23100000000.0,66.48723728085689
23200000000.0,69.14502423092502
23300000000.0,71.84904191231011
23400000000.0,74.65513046093552
23500000000.0,77.69092364639292
23600000000.0,80.87804140092697
23700000000.0,84.02397978852582
23800000000.0,87.4192276030882
23900000000.0,91.0870036963823
24000000000.0,94.78505802831022
24100000000.0,98.63652952222385
24200000000.0,102.6502282177454
24300000000.0,106.73002036516327
24400000000.0,111.10333022129612
24500000000.0,115.82928264155541
24600000000.0,120.54321047198034
24700000000.0,125.5147783236891
24800000000.0,130.81289094425685
24900000000.0,136.0729939324763
25000000000.0,141.7286551851229
25100000000.0,147.83420385261434
25200000000.0,154.02079111355863
25300000000.0,160.22727993721452
25400000000.0,166.950225900848
25500000000.0,174.28891433745466
25600000000.0,181.30096161864907
25700000000.0,188.9708448162545
25800000000.0,197.40191849207156
25900000000.0,205.55279759016693
26000000000.0,214.35710226962362
26100000000.0,223.96575034328959
26200000000.0,233.65326803830098
26300000000.0,243.71028049881008
26400000000.0,253.94477197920023
26500000000.0,264.5252180312781
26600000000.0,275.8842433364424
26700000000.0,287.96594588599197
26800000000.0,300.79315781832184
26900000000.0,313.86877432965053
27000000000.0,327.2834288257881
27100000000.0,341.729300344736
27200000000.0,356.888486135417
27300000000.0,372.4274111151703
27400000000.0,388.6665839120177
27500000000.0,405.64460839653015
27600000000.0,423.39417300751387
27700000000.0,441.9517690978673
27800000000.0,461.3580284569664
27900000000.0,481.6520902541115
28000000000.0,502.8670900358936
28100000000.0,525.0494404503639
28200000000.0,545.0777276134681
28300000000.0,569.0479440875614
28400000000.0,597.8768829034387
28500000000.0,622.3203294481374
28600000000.0,649.888674382329
28700000000.0,681.2135822453321
28800000000.0,711.6487423447046
28900000000.0,743.9458967352955
29000000000.0,777.7876437937065
29100000000.0,812.605723727683
29200000000.0,848.7971405590534
29300000000.0,886.5985366584222
29400000000.0,917.5467414647704
29500000000.0,958.1205992237325
29600000000.0,1010.7630976529903
29700000000.0,1056.0772249034367
29800000000.0,1103.5127028153145
29900000000.0,1153.1705102280532
30000000000.0,1205.1558464207078
30100000000.0,1259.5786797060343
30200000000.0,1316.5541707076634
30300000000.0,1376.2030223850047
30400000000.0,1635.1961898559084
30500000000.0,3901.933672834141
30600000000.0,
30700000000.0,
30800000000.0,
30900000000.0,
31000000000.0,
31100000000.0,
31200000000.0,
31300000000.0,
31400000000.0,
31500000000.0,
31600000000.0,
31700000000.0,
31800000000.0,
31900000000.0,
32000000000.0,
32100000000.0,
32200000000.0,
32300000000.0,
32400000000.0,
32500000000.0,
32600000000.0,
32700000000.0,
32800000000.0,
32900000000.0,
33000000000.0,
33100000000.0,
33200000000.0,
33300000000.0,
33400000000.0,
33500000000.0,
33600000000.0,
33700000000.0,
33800000000.0,
33900000000.0,
34000000000.0,
34100000000.0,
34200000000.0,
34300000000.0,
34400000000.0,
34500000000.0,
34600000000.0,
34700000000.0,
34800000000.0,
34900000000.0,
35000000000.0,
35100000000.0,
35200000000.0,
35300000000.0,
35400000000.0,
35500000000.0,
35600000000.0,
35700000000.0,
35800000000.0,
35900000000.0,
36000000000.0,
36100000000.0,
36200000000.0,
36300000000.0,
36400000000.0,
36500000000.0,
36600000000.0,
36700000000.0,
36800000000.0,
36900000000.0,
37000000000.0,
37100000000.0,
37200000000.0,
37300000000.0,
37400000000.0,
37500000000.0,
37600000000.0,
37700000000.0,
37800000000.0,
37900000000.0,
38000000000.0,
38100000000.0,
38200000000.0,
38300000000.0,
38400000000.0,
38500000000.0,
38600000000.0,
38700000000.0,
38800000000.0,
38900000000.0,
39000000000.0,
39100000000.0,
39200000000.0,
39300000000.0,
39400000000.0,
39500000000.0,
39600000000.0,
39700000000.0,
39800000000.0,
39900000000.0,
40000000000.0,
40100000000.0,
40200000000.0,
40300000000.0,
40400000000.0,
40500000000.0,
40600000000.0,
40700000000.0,
40800000000.0,
40900000000.0,
41000000000.0,
41100000000.0,
41200000000.0,
41300000000.0,
41400000000.0,
41500000000.0,
41600000000.0,
41700000000.0,
41800000000.0,
41900000000.0,
42000000000.0,
42100000000.0,
42200000000.0,
42300000000.0,
42400000000.0,
42500000000.0,
42600000000.0,
42700000000.0,
42800000000.0,
42900000000.0,
43000000000.0,
43100000000.0,
43200000000.0,
43300000000.0,
43400000000.0,
43500000000.0,
43600000000.0,
43700000000.0,
43800000000.0,
43900000000.0,
44000000000.0,
44100000000.0,
44200000000.0,
44300000000.0,
44400000000.0,
44500000000.0,
44600000000.0,
44700000000.0,
44800000000.0,
44900000000.0,
45000000000.0,
