x_coord,D_T
-200.0,1.7834424611453407e-07
-180.0,3.7500623577261906e-07
-160.0,6.775623881996529e-07
-140.0,8.595761826091923e-07
-120.0,9.491224279955106e-07
-100.0,7.377817814024694e-07
-80.0,4.679381290283846e-07
-60.0,2.4086553780337324e-07
-50.0,1.3968883894059957e-08
-40.0,-3.095581268709878e-07
-30.0,-6.509353394881255e-07
-25.0,-8.86045797768277e-07
-20.0,-1.1015202090409817e-06
-15.0,-1.9668295123951822e-06
-10.0,-2.3962230762806033e-06
-5.0,-2.622217751499504e-06
0.0,-1.2527765783732707e-06
5.0,7.188593689131146e-07
10.0,7.187635650012565e-07
20.0,7.218948930708332e-07
30.0,7.120413536370796e-07
40.0,7.01542319790093e-07
60.0,6.855796972290838e-07
80.0,6.618950256383099e-07
100.0,6.372581350248082e-07
120.0,6.137270965907304e-07
140.0,5.927271333138086e-07
160.0,5.751922133843748e-07
180.0,5.621847061626159e-07
200.0,5.54207801032511e-07
220.0,5.513349132880416e-07
240.0,5.532500691398141e-07
260.0,5.584968220668371e-07
280.0,5.644253114944396e-07
300.0,5.695527481198227e-07
320.0,5.740482121093098e-07
340.0,5.793249290643254e-07
360.0,5.861780665258883e-07
380.0,5.942070888332592e-07
400.0,6.032025667256148e-07
420.0,6.117471119028797e-07
440.0,6.174203001151922e-07
460.0,6.193961795397118e-07
480.0,6.170274563215924e-07
500.0,6.096880881236001e-07
520.0,5.981410893269031e-07
540.0,5.826010893955395e-07
560.0,5.644932246816318e-07
580.0,5.46468440751183e-07
600.0,5.312447929052901e-07
620.0,5.197347696240808e-07
640.0,5.117347685979175e-07
660.0,5.073520298285555e-07
680.0,5.062729657465736e-07
700.0,5.082690760350948e-07
720.0,5.128352959511375e-07
740.0,5.186061455788772e-07
760.0,5.237552956343973e-07
780.0,5.271914726851655e-07
800.0,5.292513895844479e-07
820.0,5.317788484311841e-07
840.0,5.362440857187711e-07
860.0,5.420778077000551e-07
880.0,5.485051859863609e-07
900.0,5.544076308440325e-07
920.0,5.584242919717832e-07
940.0,5.597106060505998e-07
960.0,5.583897480264034e-07
980.0,5.574290659731672e-07
1000.0,5.593803492291036e-07
1020.0,5.667057333771192e-07
1040.0,5.804673991785144e-07
1060.0,5.986574863847247e-07
1080.0,6.186523779404867e-07
1100.0,6.35461797640154e-07
1120.0,6.462330035815021e-07
1140.0,6.498202203855425e-07
1160.0,6.457734989788795e-07
1180.0,6.362179024586283e-07
1200.0,6.262906451238215e-07
1220.0,6.196010579507688e-07
1240.0,6.202818042697454e-07
1260.0,6.283098044014256e-07
1280.0,6.425597652884028e-07
1300.0,6.57387344415948e-07
1320.0,6.733923811771234e-07
1340.0,6.810380728215418e-07
1360.0,6.862536047697302e-07
1380.0,6.742754201967376e-07
1400.0,6.63865065032725e-07
1420.0,6.304133315853932e-07
1440.0,6.17267574102851e-07
1460.0,5.660175302414842e-07
1480.0,6.206520969598019e-07
1500.0,7.567999147912064e-07
