x_coord,kyy
-200.0,0.0
-180.0,121.94478366805748
-160.0,512.8290327310643
-140.0,1048.5258135527572
-120.0,1688.317811945436
-100.0,2346.4709948894883
-80.0,2697.2501475470285
-60.0,2986.3863754782924
-50.0,3037.6230172318133
-40.0,2995.937748938742
-30.0,2825.959343892865
-25.0,2701.5473775981504
-20.0,2523.03770814409
-15.0,2324.959277554714
-10.0,1850.617372045923
-5.0,1505.7377252216893
0.0,954.1326840372342
5.0,1077.438046689913
10.0,1199.8965671829694
20.0,1447.255980863287
30.0,1693.499905517165
40.0,1934.1218564371925
60.0,2410.695362659339
80.0,2871.666727566287
100.0,3315.850939787962
120.0,3743.130830853702
140.0,4155.135845696316
160.0,4553.697838691632
180.0,4941.72347621029
200.0,5322.497425406724
220.0,5699.614474875823
240.0,6076.459688753747
260.0,6456.195754733253
280.0,6840.21601524207
300.0,7228.059417070138
320.0,7619.091556620294
340.0,8013.082601419301
360.0,8411.330764048274
380.0,8814.69362062088
400.0,9223.921642651876
420.0,9639.586007270036
440.0,10060.498877232578
460.0,10483.92144783744
480.0,10907.536375092392
500.0,11327.719666131
520.0,11741.297850700652
540.0,12145.690374389334
560.0,12538.017277318233
580.0,12917.646909459458
600.0,13285.324535585814
620.0,13644.135504316382
640.0,13996.072927899564
660.0,14343.94372444968
680.0,14689.887659206806
700.0,15036.282812589878
720.0,15384.95647077781
740.0,15737.596027371821
760.0,16094.161445616843
780.0,16453.842574831426
800.0,16815.10703854594
820.0,17177.60514809363
840.0,17542.325965735083
860.0,17910.93038259361
880.0,18283.62893957777
900.0,18661.022933448992
920.0,19041.793209776355
940.0,19424.680073484018
960.0,19807.209411773296
980.0,20188.289973936324
1000.0,20569.50555900998
1020.0,20953.254542679828
1040.0,21344.487746951923
1060.0,21747.056102377435
1080.0,22163.16463921043
1100.0,22593.076435672272
1120.0,23032.17221277766
1140.0,23476.813863298772
1160.0,23920.81523596052
1180.0,24359.922908572076
1200.0,24790.856799007688
1220.0,25216.38873529531
1240.0,25638.174472468196
1260.0,26064.637343879007
1280.0,26497.401542606833
1300.0,26943.351539726547
1320.0,27396.39276943776
1340.0,27864.2299959902
1360.0,28327.72687223883
1380.0,28802.69645006713
1400.0,29249.812903212165
1420.0,29710.54609812233
1440.0,30111.91659167918
1460.0,30554.67268260759
1480.0,30885.957647141968
1500.0,31403.42767434963
