normalized_time,intercept,var_coeff,Pe_coeff,R_squared,R_squared_adjusted,RMSE
0.5,2.713075050471666,-0.1320339943904296,-0.011318852283979946,0.9488472556763469,0.9403217982890714,0.031065225045462483
0.6,2.713075050471666,-0.1320339943904296,-0.011318852283979946,0.9488472556763469,0.9403217982890714,0.031065225045462483
0.7,2.735350038045468,-0.13665937657258315,-0.011879131083989018,0.9483608681776675,0.9397543462072787,0.03247343508989611
0.7999999999999999,2.7475267121201576,-0.13951367564249595,-0.012165925213125156,0.9459519278204985,0.9369439157905817,0.03399800500220378
0.8999999999999999,2.7475267121201576,-0.13951367564249595,-0.012165925213125156,0.9459519278204985,0.9369439157905817,0.03399800500220378
0.9999999999999999,2.752621982005466,-0.14013990703074064,-0.01227268427629668,0.9421169254336373,0.9324697463392435,0.03546755494962106
1.0999999999999999,2.752621982005466,-0.14013990703074064,-0.01227268427629668,0.9421169254336373,0.9324697463392435,0.03546755494962106
1.1999999999999997,2.752837030937447,-0.13878437643854818,-0.01224993722334548,0.938118155712239,0.9278045149976122,0.03649867442701253
1.2999999999999998,2.752837030937447,-0.13878437643854818,-0.01224993722334548,0.938118155712239,0.9278045149976122,0.03649867442701253
1.4,2.7503869485182015,-0.13619256569301638,-0.012142461326009366,0.934845120874282,0.923985974353329,0.03695205944501103
1.4999999999999998,2.7468884490066814,-0.13304408958653452,-0.011984455396788588,0.9325842088370626,0.9213482436432398,0.036903976040176506
1.5999999999999996,2.7468884490066814,-0.13304408958653452,-0.011984455396788588,0.9325842088370626,0.9213482436432398,0.036903976040176506
1.6999999999999997,2.743281561951105,-0.12978713833727656,-0.011798330147860204,0.9312746630417227,0.9198204402153431,0.0364991187051129
1.7999999999999998,2.743281561951105,-0.12978713833727656,-0.011798330147860204,0.9312746630417227,0.9198204402153431,0.0364991187051129
1.8999999999999997,2.7400239931665635,-0.12666403535999315,-0.011597379529806367,0.93068375817567,0.9191310512049483,0.03588264320280211
1.9999999999999996,2.7400239931665635,-0.12666403535999315,-0.011597379529806367,0.93068375817567,0.9191310512049483,0.03588264320280211
2.0999999999999996,2.7372806052846914,-0.1237843026072118,-0.01138870987792735,0.9305831065188994,0.9190136242720494,0.035159225653969436
2.1999999999999997,2.735054585363602,-0.12119327933935058,-0.011174643047063563,0.930789680351912,0.9192546270772307,0.034396981485004766
2.3,2.735054585363602,-0.12119327933935058,-0.011174643047063563,0.930789680351912,0.9192546270772307,0.034396981485004766
2.3999999999999995,2.7332754343719285,-0.1188962437457767,-0.010955674431195911,0.9312015348052622,0.9197351239394727,0.03362858350812539
2.4999999999999996,2.7332754343719285,-0.1188962437457767,-0.010955674431195911,0.9312015348052622,0.9197351239394727,0.03362858350812539
2.5999999999999996,2.731940049192444,-0.11690069955093885,-0.010735257959749674,0.9317979856122371,0.9204309832142766,0.03286713362011907
2.6999999999999993,2.731940049192444,-0.11690069955093885,-0.010735257959749674,0.9317979856122371,0.9204309832142766,0.03286713362011907
2.7999999999999994,2.730971781027697,-0.11517999745719697,-0.01051518373270154,0.9325482441906371,0.9213062848890766,0.032119632563735984
2.8999999999999995,2.7339600533334423,-0.11416023891431715,-0.010547042598690257,0.9354481248244382,0.9246894789618445,0.031237267896825002
2.9999999999999996,2.7302544625454126,-0.11367755247018402,-0.010296610231744552,0.9334469443026384,0.9223547683530782,0.031380027766840866
3.0999999999999996,2.7296787720604136,-0.11233663650742372,-0.010079826681722505,0.9344774456928113,0.9235570199749465,0.030643819490552174
3.1999999999999993,2.7296787720604136,-0.11233663650742372,-0.010079826681722505,0.9344774456928113,0.9235570199749465,0.030643819490552174
3.2999999999999994,2.7291204851437225,-0.111097122814414,-0.009864071501044337,0.9355971448283701,0.9248633356330984,0.029910963439192122
3.3999999999999995,2.7291204851437225,-0.111097122814414,-0.009864071501044337,0.9355971448283701,0.9248633356330984,0.029910963439192122
3.499999999999999,2.72850089297257,-0.10991114965130104,-0.009649774712065098,0.9367905310023452,0.926255619502736,0.029177898057453893
3.599999999999999,2.730785141895165,-0.1090623640218026,-0.009654624285873086,0.9401446384718581,0.9301687448838345,0.028208181283933834
3.6999999999999993,2.7277555885957914,-0.10874120323388935,-0.009436451821914119,0.9380499624190637,0.9277249561555743,0.028439859048060675
3.7999999999999994,2.726829066014436,-0.10755530517392085,-0.00922358303135543,0.9393604600890414,0.9292538701038816,0.02769485647702609
3.8999999999999995,2.726829066014436,-0.10755530517392085,-0.00922358303135543,0.9393604600890414,0.9292538701038816,0.02769485647702609
3.999999999999999,2.7256934837067557,-0.10633153111891212,-0.009011426377386021,0.9407005594707321,0.9308173193825208,0.026945018551385272
4.1,2.7256934837067557,-0.10633153111891212,-0.009011426377386021,0.9407005594707321,0.9308173193825208,0.026945018551385272
4.199999999999999,2.724321527144249,-0.10505055108092624,-0.008799254311168306,0.9420718505247515,0.9324171589455434,0.026186329772569385
4.299999999999999,2.7254368916503378,-0.10400271386864424,-0.00878119787273848,0.9452670338723913,0.9361448728511232,0.025226063435897825
4.399999999999999,2.7226842506997544,-0.10368875237707884,-0.008587016910075924,0.9434486168395583,0.934023386312818,0.025421448302728727
4.499999999999999,2.72076211866581,-0.10222861441127534,-0.00837461354257743,0.9447924754171348,0.9355912213199906,0.024656951872499114
4.599999999999999,2.72076211866581,-0.10222861441127534,-0.00837461354257743,0.9447924754171348,0.9355912213199906,0.024656951872499114
4.699999999999999,2.7185234358341175,-0.1006513795235812,-0.008160936406900996,0.946071371262552,0.9370832664729773,0.02389660514908988
