time,vt
7800000000.0,8.773244891356894e-08
7900000000.0,8.773473344478352e-08
8000000000.0,8.772965708468452e-08
8100000000.0,8.772398235991854e-08
8200000000.0,8.772246103636919e-08
8300000000.0,8.772058366775201e-08
8400000000.0,8.772293545577316e-08
8500000000.0,8.77097440604811e-08
8600000000.0,8.771816289898052e-08
8700000000.0,8.772582850254553e-08
8800000000.0,8.771780634709797e-08
8900000000.0,8.771929741940034e-08
9000000000.0,8.771347947201679e-08
9100000000.0,8.77070991152424e-08
9200000000.0,8.770740680651637e-08
9300000000.0,8.770318403349435e-08
9400000000.0,8.770118000781298e-08
9500000000.0,8.770620708080994e-08
9600000000.0,8.771528131489948e-08
9700000000.0,8.770637677114743e-08
9800000000.0,8.77053019651389e-08
9900000000.0,8.770727876680309e-08
10000000000.0,8.769611530241546e-08
10100000000.0,8.770096246576766e-08
10200000000.0,8.769219099906018e-08
10300000000.0,8.76906372764304e-08
10400000000.0,8.76835267791464e-08
10500000000.0,8.767760717432202e-08
10600000000.0,8.76744575990783e-08
10700000000.0,8.765480475799919e-08
10800000000.0,8.764370207049633e-08
10900000000.0,8.761556962182252e-08
11000000000.0,8.758902819271687e-08
11100000000.0,8.756211536798777e-08
11200000000.0,8.753313879416851e-08
11300000000.0,8.74972361779579e-08
11400000000.0,8.743746978365107e-08
11500000000.0,8.739137886091153e-08
11600000000.0,8.733093896551894e-08
11700000000.0,8.723977663615626e-08
11800000000.0,8.714492416918511e-08
11900000000.0,8.703614217137619e-08
12000000000.0,8.690191208252898e-08
12100000000.0,8.67483464295623e-08
12200000000.0,8.657730188759548e-08
12300000000.0,8.637527750072287e-08
12400000000.0,8.614440026934539e-08
12500000000.0,8.588396795156367e-08
12600000000.0,8.559066897514569e-08
12700000000.0,8.525864854920047e-08
12800000000.0,8.487099141737007e-08
12900000000.0,8.444496735762787e-08
13000000000.0,8.397601677065858e-08
13100000000.0,8.344681405807019e-08
13200000000.0,8.286432625434942e-08
13300000000.0,8.222398526453942e-08
13400000000.0,8.152427902473907e-08
13500000000.0,8.076107263130222e-08
13600000000.0,7.993555172795049e-08
13700000000.0,7.903961744127501e-08
13800000000.0,7.806282426300791e-08
13900000000.0,7.701968277101516e-08
14000000000.0,7.590608881009616e-08
14100000000.0,7.471513210710941e-08
14200000000.0,7.345456471457768e-08
14300000000.0,7.212085726213021e-08
14400000000.0,7.071430899509469e-08
14500000000.0,6.923833663183062e-08
14600000000.0,6.769375460911116e-08
14700000000.0,6.608655862491832e-08
14800000000.0,6.442501693579049e-08
14900000000.0,6.269813452363862e-08
15000000000.0,6.091460201151204e-08
15100000000.0,5.90855127175615e-08
15200000000.0,5.7208791348836255e-08
15300000000.0,5.529491407199447e-08
15400000000.0,5.334924744988629e-08
15500000000.0,5.137859882427303e-08
15600000000.0,4.938786767776759e-08
15700000000.0,4.738347597785314e-08
15800000000.0,4.537329230946831e-08
15900000000.0,4.336430986822615e-08
16000000000.0,4.136078987745022e-08
16100000000.0,3.936535248940789e-08
16200000000.0,3.738599353440083e-08
16300000000.0,3.543347535527995e-08
16400000000.0,3.351417952802062e-08
16500000000.0,3.1629146044866334e-08
16600000000.0,2.978347504033942e-08
16700000000.0,2.7984821938417848e-08
16800000000.0,2.623746773553792e-08
16900000000.0,2.4542422198084866e-08
17000000000.0,2.2903087330800017e-08
17100000000.0,2.132522205700677e-08
17200000000.0,1.980986494449908e-08
17300000000.0,1.8358981814480568e-08
17400000000.0,1.6974863039251187e-08
17500000000.0,1.5656944881667384e-08
17600000000.0,1.4407339761547749e-08
17700000000.0,1.3224666862883872e-08
17800000000.0,1.210784955571852e-08
17900000000.0,1.1059307932801333e-08
18000000000.0,1.0076502105337093e-08
18100000000.0,9.159625419097339e-09
18200000000.0,8.304001161436484e-09
18300000000.0,7.507733138199736e-09
18400000000.0,6.771756542835333e-09
18500000000.0,6.092268047192381e-09
18600000000.0,5.466823915403867e-09
18700000000.0,4.892861699884188e-09
18800000000.0,4.367732230248682e-09
18900000000.0,3.8887299356037445e-09
19000000000.0,3.4531211932655675e-09
19100000000.0,3.0581704685349343e-09
19200000000.0,2.701164091658852e-09
19300000000.0,2.3794315339948426e-09
19400000000.0,2.0903641360982362e-09
19500000000.0,1.831431269537949e-09
19600000000.0,1.6001135779751642e-09
19700000000.0,1.3941425637974776e-09
19800000000.0,1.2114154610446888e-09
19900000000.0,1.0497640780579678e-09
20000000000.0,9.071617495081512e-10
20100000000.0,7.817031480175507e-10
20200000000.0,6.716547305725736e-10
20300000000.0,5.754510552063474e-10
20400000000.0,4.915879700943548e-10
20500000000.0,4.202640275476052e-10
20600000000.0,3.5725609847353135e-10
20700000000.0,3.0134568690315074e-10
20800000000.0,2.545358461881867e-10
20900000000.0,2.1434693535046943e-10
21000000000.0,1.799117028671377e-10
21100000000.0,1.50553134231604e-10
21200000000.0,1.2560095743120862e-10
21300000000.0,1.0446087350754975e-10
21400000000.0,8.660783531784107e-11
21500000000.0,7.157945888853625e-11
21600000000.0,5.89700456246633e-11
21700000000.0,4.8462950865984906e-11
21800000000.0,3.975320464507047e-11
21900000000.0,3.248730260488767e-11
22000000000.0,2.658681970058147e-11
22100000000.0,2.1668455465985404e-11
22200000000.0,1.564315538612364e-11
22300000000.0,5.975835529754075e-12
22400000000.0,0.0
22500000000.0,0.0
22600000000.0,0.0
22700000000.0,0.0
22800000000.0,0.0
22900000000.0,0.0
23000000000.0,0.0
23100000000.0,0.0
23200000000.0,0.0
23300000000.0,0.0
23400000000.0,0.0
23500000000.0,0.0
23600000000.0,0.0
23700000000.0,0.0
23800000000.0,0.0
23900000000.0,0.0
24000000000.0,0.0
24100000000.0,0.0
24200000000.0,0.0
24300000000.0,0.0
24400000000.0,0.0
24500000000.0,0.0
24600000000.0,0.0
24700000000.0,0.0
24800000000.0,0.0
24900000000.0,0.0
25000000000.0,0.0
25100000000.0,0.0
25200000000.0,0.0
25300000000.0,0.0
25400000000.0,0.0
25500000000.0,0.0
25600000000.0,0.0
25700000000.0,0.0
25800000000.0,0.0
25900000000.0,0.0
26000000000.0,0.0
