time,vt_average,vt_std_dev,vt_margin_of_error
100000000.0,1.5420810417843454e-07,8.06559349842759e-08,1.5808272770858492e-08
200000000.0,1.0998675589747094e-07,5.639686146081216e-08,1.105358173042868e-08
300000000.0,1.0985175318965671e-07,5.551676963278278e-08,1.0881086901826122e-08
400000000.0,1.1011976765334298e-07,5.484362137632097e-08,1.0749152267934012e-08
500000000.0,1.1043548007766784e-07,5.435660837815619e-08,1.065369947429343e-08
600000000.0,1.1053623768345333e-07,5.372930880546421e-08,1.0530751017294065e-08
700000000.0,1.1035467341523646e-07,5.281533653223229e-08,1.0351615743453787e-08
800000000.0,1.0995696695747317e-07,5.167094540856376e-08,1.0127319204792024e-08
900000000.0,1.0943809397585431e-07,5.041477889732848e-08,9.881115092731375e-09
1000000000.0,1.0886649374940888e-07,4.9137533560692374e-08,9.630779606808527e-09
1100000000.0,1.0827925385943028e-07,4.788182598073688e-08,9.384665443625855e-09
1200000000.0,1.07699335426918e-07,4.6670586508167585e-08,9.147266869336942e-09
1300000000.0,1.0714558276739575e-07,4.552228792680935e-08,8.922204483040884e-09
1400000000.0,1.0662862600619145e-07,4.444380386887528e-08,8.710825491895746e-09
1500000000.0,1.0614976891086618e-07,4.343161181800884e-08,8.51243949538215e-09
1600000000.0,1.0570823729874934e-07,4.2478515374261515e-08,8.325636025028354e-09
1700000000.0,1.0529982232536211e-07,4.1575774467344237e-08,8.148702058535464e-09
1800000000.0,1.0491915856985671e-07,4.071697321911115e-08,7.980380106893978e-09
1900000000.0,1.0456320242962584e-07,3.989659240894658e-08,7.819588422740941e-09
2000000000.0,1.0422768837119668e-07,3.9110687285409646e-08,7.665553849001151e-09
2100000000.0,1.0391031097293843e-07,3.83583020361801e-08,7.518089049902241e-09
2200000000.0,1.0360932734806112e-07,3.76394498813642e-08,7.377196616537425e-09
2300000000.0,1.0332178324781052e-07,3.695164265415945e-08,7.2423888771746586e-09
2400000000.0,1.0304584577549969e-07,3.629426472688657e-08,7.113545171006013e-09
2500000000.0,1.0277944635063417e-07,3.5666026506984336e-08,6.990412742534021e-09
2600000000.0,1.0251852064006561e-07,3.506006305311891e-08,6.871646087981648e-09
2700000000.0,1.0226072799434429e-07,3.447272627283644e-08,6.756530194366711e-09
2800000000.0,1.0200201444831033e-07,3.389981799599759e-08,6.644242235461807e-09
2900000000.0,1.0173865938951198e-07,3.3334350425919207e-08,6.5334126282839055e-09
3000000000.0,1.0146782447269022e-07,3.277250030625597e-08,6.4232920283589595e-09
3100000000.0,1.0118628859711027e-07,3.221037395244396e-08,6.313117287535723e-09
3200000000.0,1.0089273293279499e-07,3.164440095562701e-08,6.20218861853738e-09
3300000000.0,1.0058475457925254e-07,3.107252182917404e-08,6.090102369401576e-09
3400000000.0,1.0026148476877119e-07,3.049358776455688e-08,5.976633377794274e-09
3500000000.0,9.992315959391709e-08,2.990807447771718e-08,5.861874882326726e-09
3600000000.0,9.956854891220051e-08,2.93160393350186e-08,5.745838126599601e-09
3700000000.0,9.919827191566843e-08,2.8719029744225422e-08,5.628826396961639e-09
3800000000.0,9.88137843775453e-08,2.8119328166243908e-08,5.511287047530079e-09
3900000000.0,9.841508564075555e-08,2.751795292774756e-08,5.393419666665375e-09
4000000000.0,9.800338011740186e-08,2.691742932506746e-08,5.275719203353451e-09
4100000000.0,9.757919510833059e-08,2.631982845779728e-08,5.158591585655507e-09
4200000000.0,9.714327788548784e-08,2.572634780160734e-08,5.042271514490159e-09
4300000000.0,9.669567175872569e-08,2.5138808389531413e-08,4.927115905773493e-09
4400000000.0,9.623687476782065e-08,2.455781983537705e-08,4.813244241616237e-09
4500000000.0,9.576724910618515e-08,2.3984592622910417e-08,4.7008937724769484e-09
4600000000.0,9.528681942918873e-08,2.341951278608036e-08,4.590140159619281e-09
4700000000.0,9.479519295743553e-08,2.2862987300512285e-08,4.481063168800071e-09
4800000000.0,9.429316396351845e-08,2.2315688332887514e-08,4.373794542268021e-09
4900000000.0,9.378124807928322e-08,2.1777600898142928e-08,4.2683313430047274e-09
5000000000.0,9.325867723930476e-08,2.124831903308104e-08,4.1645940036855785e-09
5100000000.0,9.27259695471043e-08,2.0727288126431215e-08,4.0624738224989875e-09
5200000000.0,9.218311833658463e-08,2.021621198033008e-08,3.9623047385274124e-09
5300000000.0,9.163086893188464e-08,1.971476317383704e-08,3.864022578445717e-09
5400000000.0,9.106956481259835e-08,1.9222125996820234e-08,3.767467466005874e-09
5500000000.0,9.049939641371424e-08,1.8739101707458748e-08,3.672796444925218e-09
5600000000.0,8.992069323326582e-08,1.826543132803513e-08,3.5799587565038467e-09
5700000000.0,8.93334550766498e-08,1.7801084525475837e-08,3.488948455568592e-09
5800000000.0,8.87385607527181e-08,1.734637787505562e-08,3.399827589733145e-09
5900000000.0,8.813658321669235e-08,1.69018876140473e-08,3.312709099427633e-09
6000000000.0,8.752737629853015e-08,1.6468085923137818e-08,3.2276855303661174e-09
6100000000.0,8.691149030528294e-08,1.6044195678911526e-08,3.144604569157975e-09
6200000000.0,8.628999966957232e-08,1.5630205272155283e-08,3.063463940439243e-09
6300000000.0,8.566293337285889e-08,1.5227778322425892e-08,2.984589707651451e-09
6400000000.0,8.50303922002235e-08,1.4836108419388431e-08,2.9078238172732794e-09
6500000000.0,8.439301131645984e-08,1.4455431678913768e-08,2.8332125471650353e-09
6600000000.0,8.375105136850724e-08,1.4086114798185503e-08,2.7608277686540275e-09
6700000000.0,8.310498907127204e-08,1.3727759355650041e-08,2.690591392550686e-09
6800000000.0,8.245472899651324e-08,1.3380807575833029e-08,2.622590093269345e-09
6900000000.0,8.180111924231025e-08,1.3045137223327614e-08,2.556799913110497e-09
7000000000.0,8.114473099606939e-08,1.2721389504374509e-08,2.4933465261879885e-09
7100000000.0,8.048548303894243e-08,1.2409484308471833e-08,2.432214231131973e-09
7200000000.0,7.982386496763991e-08,1.2108587112407843e-08,2.373239464398522e-09
7300000000.0,7.91600519758093e-08,1.1818952732744058e-08,2.3164721691159606e-09
7400000000.0,7.849448746889078e-08,1.1540768451387543e-08,2.2619490518635678e-09
7500000000.0,7.782707304721884e-08,1.1274037884302332e-08,2.2096708213572717e-09
7600000000.0,7.71582058743225e-08,1.1018668931625574e-08,2.1596194263556562e-09
7700000000.0,7.64883770792443e-08,1.0774403296131378e-08,2.1117442415327147e-09
7800000000.0,7.581748772010497e-08,1.0540835004339603e-08,2.0659656975484727e-09
7900000000.0,7.514603151519367e-08,1.0317955781042532e-08,2.0222821724920207e-09
8000000000.0,7.44742570837704e-08,1.0105602599590771e-08,1.9806617137272254e-09
8100000000.0,7.380217578879378e-08,9.903404129333645e-09,1.9410315417839197e-09
8200000000.0,7.313002199378402e-08,9.711405811391464e-09,1.903400562958025e-09
8300000000.0,7.245789130264e-08,9.52924060398041e-09,1.8676968383818317e-09
8400000000.0,7.178614682241158e-08,9.356669157243848e-09,1.8338734563454682e-09
8500000000.0,7.111521953368658e-08,9.193294370636221e-09,1.8018525865721816e-09
8600000000.0,7.044515380794969e-08,9.038678994798047e-09,1.7715485297622871e-09
8700000000.0,6.977597981171902e-08,8.892595535411227e-09,1.7429166978487683e-09
8800000000.0,6.910770864074884e-08,8.755174823162424e-09,1.715982733175019e-09
8900000000.0,6.844074301157422e-08,8.625555355988477e-09,1.690577784439398e-09
9000000000.0,6.777518048485545e-08,8.503455164441341e-09,1.6666465866456153e-09
9100000000.0,6.711113408017766e-08,8.388815462515223e-09,1.6441776179482552e-09
9200000000.0,6.644899409331137e-08,8.280986534577975e-09,1.6230435364233983e-09
9300000000.0,6.57888921498956e-08,8.179743913303962e-09,1.6032003472836488e-09
9400000000.0,6.513079605331767e-08,8.084710782791796e-09,1.5845741959694549e-09
9500000000.0,6.44750116610353e-08,7.995550387860818e-09,1.5670990796782465e-09
