x_coord,lambda_eff_f
0.0,0.6
5.0,1.615376353263855
10.0,2.6307525634765625
20.0,4.661505222320557
30.0,6.692258358001709
40.0,8.7230110266321
60.0,11.387070006217797
80.0,14.964311135902335
100.0,18.16561087807896
120.0,21.383836467816536
140.0,24.65151342018317
160.0,27.79038590038494
180.0,31.39651188178022
200.0,34.7876305834704
220.0,38.17221341619004
240.0,42.031264574242186
260.0,44.76716676639348
280.0,47.931911739441745
300.0,51.13635711496114
320.0,54.09839537539672
340.0,56.937606599566415
360.0,59.309207478226945
380.0,61.575216981608726
400.0,63.882657228442405
420.0,66.56936652824338
440.0,69.15452018903378
460.0,71.87963087636736
480.0,74.26935211069402
500.0,76.12563832545695
520.0,77.76941796876154
540.0,79.39575909987737
560.0,80.85398458981585
580.0,82.51718672819901
600.0,83.49564493000219
620.0,84.2711487567896
640.0,85.35517791395215
660.0,86.79143540138826
680.0,88.48700869684593
700.0,90.08641890750089
720.0,91.80006211691064
740.0,93.21511776938688
760.0,94.51001802514654
780.0,95.84142964479658
800.0,97.07373739470871
820.0,98.34872419845539
840.0,99.48475180539548
860.0,100.70502707983887
880.0,101.98205509714937
900.0,102.94829167401706
920.0,103.9464156908013
940.0,104.27299867490423
960.0,104.44630127445777
980.0,104.69482289253021
1000.0,105.24290686001056
1020.0,106.07576145109374
1040.0,106.65616344380756
1060.0,107.1409499956735
1080.0,107.95824415224617
1100.0,109.30196732542792
1120.0,110.86767211344808
1140.0,112.28249817810257
1160.0,113.57613252063341
1180.0,114.73321388990252
1200.0,115.76389829976893
1220.0,116.47511763693144
1240.0,116.82731573449954
1260.0,116.80627559415564
1280.0,116.47924519637057
1300.0,116.08829660016444
1320.0,115.81717794735115
1340.0,115.59395124564932
1360.0,115.57436709459463
1380.0,115.5330696486635
1400.0,115.57833073255884
1420.0,115.85024064973241
1440.0,115.73798404243911
1460.0,116.21765378279737
1480.0,115.28641016818212
1500.0,117.32591023339923
