x_coord,D_T
-200.0,0.0
-180.0,0.0
-160.0,0.0
-140.0,0.0
-120.0,0.0
-100.0,0.0
-80.0,0.0
-60.0,0.0
-50.0,0.0
-40.0,6.260741473158893e-07
-30.0,6.083372922207007e-07
-25.0,-1.6571828522296836e-08
-20.0,-4.107503295598995e-07
-15.0,-5.283049030309037e-07
-10.0,-5.196808130717623e-07
-5.0,-4.807171911291281e-07
0.0,-7.084712395184776e-08
5.0,3.392735756867325e-07
10.0,3.538899964098791e-07
20.0,3.802841187655036e-07
30.0,3.871479753960524e-07
40.0,3.888438080512456e-07
60.0,3.897336213803196e-07
80.0,3.898305845460227e-07
100.0,3.8946911733797994e-07
120.0,3.8834513701482085e-07
140.0,3.880734183882094e-07
160.0,3.873858521961679e-07
180.0,3.8657908970883596e-07
200.0,3.860725609655249e-07
220.0,3.8467884229894335e-07
240.0,3.8524683128219695e-07
260.0,3.852427138592667e-07
280.0,3.848720795349719e-07
300.0,3.849689251146022e-07
320.0,3.8414130148780697e-07
340.0,3.837233971386125e-07
360.0,3.8525504003330534e-07
380.0,3.8568759243870066e-07
400.0,3.841910399193884e-07
420.0,3.8574967866357024e-07
440.0,3.861964787736932e-07
460.0,3.848469892235142e-07
480.0,3.846201908048694e-07
500.0,3.8668675659839613e-07
520.0,3.871920921898837e-07
540.0,3.854081338424973e-07
560.0,3.851993438044357e-07
580.0,3.875408059364371e-07
600.0,3.8804238053300986e-07
620.0,3.8600134558074506e-07
640.0,3.8581736156648564e-07
660.0,3.8823324168337653e-07
680.0,3.8869827603551035e-07
700.0,3.8657368502471534e-07
720.0,3.8641809227608896e-07
740.0,3.8620824711824507e-07
760.0,3.891737293130844e-07
780.0,3.8965265599710616e-07
800.0,3.869735732160819e-07
820.0,3.8680517850203467e-07
840.0,3.8659299974483773e-07
860.0,3.899131013013235e-07
880.0,3.9038198582252895e-07
900.0,3.8733921758058893e-07
920.0,3.871738011526493e-07
940.0,3.8697349718724284e-07
960.0,3.9045924764413487e-07
980.0,3.9090182567972657e-07
1000.0,3.876795845300737e-07
1020.0,3.8752611819118484e-07
1040.0,3.8734501416942914e-07
1060.0,3.8713503901385986e-07
1080.0,3.912442650867913e-07
1100.0,3.916998675424445e-07
1120.0,3.878597217993315e-07
1140.0,3.877000475168471e-07
1160.0,3.875179383726219e-07
1180.0,3.87312409675199e-07
1200.0,3.9185475119066493e-07
1220.0,3.9230769591527866e-07
1240.0,3.880482385266988e-07
1260.0,3.878775388630841e-07
1280.0,3.8773272979557505e-07
1300.0,3.874213695298829e-07
1320.0,3.9239092687312173e-07
1340.0,3.922217707054449e-07
1360.0,3.889983422575206e-07
1380.0,3.8574603567796346e-07
1400.0,3.9321285835674635e-07
1420.0,3.7601023593424695e-07
1440.0,4.228923952041735e-07
1460.0,3.2831145751334495e-07
1480.0,5.506952544054165e-07
1500.0,9.446552921080102e-07
