x_coord,D_T
-200.0,5.293002559811767e-08
-180.0,1.5286257657985473e-07
-160.0,5.35162075174052e-07
-140.0,6.56237358257702e-07
-120.0,8.616975949364087e-07
-100.0,7.622178003426004e-07
-80.0,5.252546544556508e-07
-60.0,5.419859432985426e-07
-50.0,1.9797379552424962e-07
-40.0,-1.484540918483876e-07
-30.0,1.9757312836827048e-07
-25.0,-8.531580852595642e-07
-20.0,-1.4355855335560854e-06
-15.0,-2.4796833442327434e-06
-10.0,-2.6451321664041265e-06
-5.0,-2.497195405223829e-06
0.0,-1.5834593379641729e-06
5.0,7.47967710870738e-07
10.0,7.394681796698737e-07
20.0,7.346436659594125e-07
30.0,7.084116729251737e-07
40.0,6.811448251259287e-07
60.0,6.49240204181236e-07
80.0,6.12547427284725e-07
100.0,5.81622954497443e-07
120.0,5.578891973518314e-07
140.0,5.415338950972385e-07
160.0,5.337716563068557e-07
180.0,5.360807531556256e-07
200.0,5.475074978341507e-07
220.0,5.663659038848109e-07
240.0,5.911027393077981e-07
260.0,6.151997356859433e-07
280.0,6.320717046379464e-07
300.0,6.439565445042958e-07
320.0,6.568247335005088e-07
340.0,6.726746121157972e-07
360.0,6.87808365815257e-07
380.0,6.947992932861829e-07
400.0,6.892188337839071e-07
420.0,6.740819812018369e-07
440.0,6.566032341047455e-07
460.0,6.43861958962031e-07
480.0,6.407501653990619e-07
500.0,6.464322288787546e-07
520.0,6.546127934352488e-07
540.0,6.604230377462341e-07
560.0,6.611726231638633e-07
580.0,6.574973360296872e-07
600.0,6.543303966070994e-07
620.0,6.53407568920097e-07
640.0,6.507441035431659e-07
660.0,6.427967517302994e-07
680.0,6.328593677929394e-07
700.0,6.274331667880986e-07
720.0,6.290742162807618e-07
740.0,6.39237739795284e-07
760.0,6.5927348395742e-07
780.0,6.846465462477966e-07
800.0,7.066388161243808e-07
820.0,7.193945803482164e-07
840.0,7.219145344613438e-07
860.0,7.157493633804344e-07
880.0,7.007184814710179e-07
900.0,6.751975959268102e-07
920.0,6.411621600454811e-07
940.0,6.053878364623417e-07
960.0,5.742407302585212e-07
980.0,5.502992128889267e-07
1000.0,5.351440955741161e-07
1020.0,5.288918169580586e-07
1040.0,5.298340358367585e-07
1060.0,5.351890348852262e-07
1080.0,5.42639626530995e-07
1100.0,5.509462302658685e-07
1120.0,5.615976422405122e-07
1140.0,5.778872409061068e-07
1160.0,6.055653345561461e-07
1180.0,6.465014924979953e-07
1200.0,6.961485176514017e-07
1220.0,7.421792730808988e-07
1240.0,7.800703201426549e-07
1260.0,8.060666498831242e-07
1280.0,8.290411382896143e-07
1300.0,8.457779530816907e-07
1320.0,8.675624194660049e-07
1340.0,8.740829320087448e-07
1360.0,8.855213158635139e-07
1380.0,8.601936735039386e-07
1400.0,8.46989107354775e-07
1420.0,7.746074294839399e-07
1440.0,7.484244240285582e-07
1460.0,6.341108418227835e-07
1480.0,7.058340479331537e-07
1500.0,9.75609861277926e-07
